Version, St Cov, MS, Easy mutants, Stubbron mutants, Live mutants 
4, 0.61, 0.74, 7, 21, 10
 5, 0.74, 0.95, 43, 238, 14
 6, 0.78, 0.66, 8, 609, 311
 9, 0.58, 0.85, 6, 27, 6
 13, 0.64, 0.73, 22, 11, 12
 14, 0.81, 0.93, 20, 5, 2
 17, 0.87, 0.91, 388, 553, 92
 18, 0.79, 0.56, 86, 155, 186
 19, 0.77, 0.52, 1, 222, 204
 20, 0.77, 0.51, 1, 215, 204
 21, 0.93, 0.93, 20, 19, 3
 23, 0.94, 0.86, 19, 80, 16
 24, 0.93, 0.83, 9, 86, 20
 25, 0.85, 1.0, 2, 0, 0
 26, 0.88, 0.88, 25, 98, 17
 27, 0.87, 0.93, 22, 108, 10
 28, 0.96, 0.67, 28, 9, 18
 30, 0.83, 0.97, 17, 15, 1
 32, 0.8, 0.63, 20, 33, 31
 33, 0.88, 0.88, 89, 64, 20
 37, 0.8, 0.95, 43, 237, 15
 42, 0.85, 0.89, 73, 81, 19
 47, 0.75, 0.96, 20, 222, 11
 49, 0.88, 0.86, 32, 206, 40
 50, 0.61, 0.56, 8, 22, 24
 51, 0.71, 0.66, 12, 27, 20
 52, 0.83, 0.9, 20, 512, 62
 54, 0.87, 0.93, 333, 584, 66
 56, 0.96, 0.91, 17, 22, 4
 58, 0.76, 1.0, 1, 1, 0
 61, 0.8, 1.0, 15, 8, 0
 64, 0.84, 0.85, 100, 198, 54
 65, 0.86, 0.83, 24, 25, 10
 67, 0.83, 0.91, 4, 56, 6
 68, 0.85, 0.86, 1, 296, 49
 69, 0.88, 0.96, 8, 46, 2
 70, 1.0, 0.73, 2, 9, 4
 73, 0.82, 0.67, 2, 76, 39
 78, 0.62, 0.58, 7, 38, 33
 76, 0.93, 0.88, 30, 56, 12
 80, 0.76, 0.47, 123, 450, 659
 81, 0.74, 0.32, 113, 280, 839
 
