Threshold Level,Avg All MS,Avg Stubborn MS,A12 Stubborn MS,Perfect MS,Avg Recall,A12 Recall,Perfect Recall,Avg Total Size,Avg Size of Stubborn Tests
Hard0.05,0.9,0.9,0.5,1.0,0.63,0.5,0.0,1738,111
Hard0.025,0.9,0.9,0.5,1.0,0.38,0.5,0.0,1738,100
Stb0.75,0.9,0.9,0.5,1.0,0.68,0.5,0.5,1738,141
Random0.75,0.9,0.85,0.5,0.0,0.4,0.5,0.0,1738,141
Stb0.5,0.9,0.9,0.5,1.0,0.68,0.5,0.5,1738,136
Random0.5,0.9,0.84,0.62,0.0,0.38,0.5,0.0,1738,136
Stb0.25,0.9,0.9,0.5,1.0,0.64,0.5,0.25,1738,125
Random0.25,0.9,0.82,0.5,0.0,0.37,0.5,0.0,1738,125
Stb0.1,0.9,0.9,0.5,1.0,0.63,0.5,0.0,1738,107
Random0.1,0.9,0.76,0.5,0.0,0.24,0.75,0.0,1738,107
Stb0.05,0.9,0.9,0.5,1.0,0.5,0.38,0.0,1738,95
Random0.05,0.9,0.73,0.5,0.0,0.16,0.75,0.0,1738,95
Stb0.01,0.9,0.86,0.5,0.0,0.22,0.25,0.0,1738,46
Random0.01,0.9,0.5,0.5,0.0,0.03,0.62,0.0,1738,46
Stb0.005,0.9,0.8,0.5,0.0,0.16,0.25,0.0,1738,30
Random0.005,0.9,0.42,0.5,0.0,0.02,0.5,0.0,1738,30
Stb0.003,0.9,0.56,0.75,0.0,0.13,0.25,0.0,1738,21
Random0.003,0.9,0.3,0.5,0.0,0.02,0.25,0.0,1738,21
Stb0.002,0.9,0.45,0.62,0.0,0.0,0.5,0.0,1738,14
Random0.002,0.9,0.22,0.5,0.0,0.0,0.62,0.0,1738,14
Stb0.001,0.9,0.1,0.25,0.0,0.0,0.5,0.0,1738,3
Random0.001,0.9,0.06,0.25,0.0,0.0,0.5,0.0,1738,3
