Threshold Level,Avg All MS,Avg Stubborn MS,A12 Stubborn MS,Perfect MS,Avg Recall,A12 Recall,Perfect Recall,Avg Total Size,Avg Size of Stubborn Tests
Hard0.05,0.72,0.7,0.6,0.6,0.63,0.6,0.2,1617,101
Hard0.025,0.72,0.69,0.6,0.4,0.63,0.6,0.2,1617,95
Stb0.75,0.72,0.72,0.6,1.0,0.63,0.6,0.2,1617,112
Random0.75,0.72,0.54,0.6,0.0,0.33,0.6,0.0,1617,112
Stb0.5,0.72,0.72,0.6,1.0,0.63,0.6,0.2,1617,108
Random0.5,0.72,0.56,0.6,0.0,0.33,0.6,0.0,1617,108
Stb0.25,0.72,0.7,0.6,0.6,0.63,0.6,0.2,1617,104
Random0.25,0.72,0.46,0.6,0.0,0.24,0.6,0.0,1617,104
Stb0.1,0.72,0.69,0.6,0.4,0.43,0.6,0.2,1617,98
Random0.1,0.72,0.34,0.4,0.0,0.06,0.3,0.0,1617,98
Stb0.05,0.72,0.69,0.6,0.4,0.43,0.6,0.2,1617,97
Random0.05,0.72,0.31,0.4,0.0,0.03,0.2,0.0,1617,97
Stb0.01,0.72,0.54,0.6,0.2,0.43,0.6,0.2,1617,37
Random0.01,0.72,0.24,0.5,0.0,0.01,0.6,0.0,1617,37
Stb0.005,0.72,0.49,0.6,0.0,0.43,0.6,0.2,1617,31
Random0.005,0.72,0.21,0.6,0.0,0.01,0.3,0.0,1617,31
Stb0.003,0.72,0.32,0.6,0.0,0.23,0.4,0.0,1617,17
Random0.003,0.72,0.17,0.6,0.0,0.01,0.3,0.0,1617,17
Stb0.002,0.72,0.25,0.4,0.0,0.23,0.4,0.0,1617,11
Random0.002,0.72,0.1,0.4,0.0,0.0,0.6,0.0,1617,11
Stb0.001,0.72,0.23,0.4,0.0,0.13,0.2,0.0,1617,6
Random0.001,0.72,0.09,0.4,0.0,0.0,0.5,0.0,1617,6
