Threshold Level,Avg All MS,Avg Stubborn MS,A12 Stubborn MS,Perfect MS,Avg Recall,A12 Recall,Perfect Recall,Avg Total Size,Avg Size of Stubborn Tests
Hard0.05,0.69,0.63,0.8,0.4,0.53,0.6,0.4,1902,19
Hard0.025,0.69,0.63,0.8,0.2,0.47,0.4,0.4,1902,19
Stb0.75,0.69,0.69,0.8,0.8,0.73,0.6,0.6,1902,32
Random0.75,0.69,0.64,0.8,0.0,0.38,0.6,0.0,1902,32
Stb0.5,0.69,0.69,0.8,0.8,0.73,0.6,0.6,1902,32
Random0.5,0.69,0.63,0.8,0.0,0.38,0.6,0.0,1902,32
Stb0.25,0.69,0.69,0.8,0.6,0.53,0.6,0.4,1902,27
Random0.25,0.69,0.62,0.8,0.0,0.27,0.6,0.0,1902,27
Stb0.1,0.69,0.68,0.8,0.6,0.53,0.6,0.4,1902,20
Random0.1,0.69,0.5,0.8,0.0,0.06,0.4,0.0,1902,20
Stb0.05,0.69,0.63,0.8,0.4,0.53,0.6,0.4,1902,19
Random0.05,0.69,0.44,0.8,0.0,0.02,0.5,0.0,1902,19
Stb0.01,0.69,0.62,0.8,0.2,0.47,0.4,0.4,1902,15
Random0.01,0.69,0.41,0.8,0.0,0.01,0.6,0.0,1902,15
Stb0.005,0.69,0.6,0.6,0.2,0.47,0.4,0.4,1902,13
Random0.005,0.69,0.39,0.7,0.0,0.01,0.6,0.0,1902,13
Stb0.003,0.69,0.46,0.6,0.0,0.4,0.4,0.4,1902,10
Random0.003,0.69,0.36,0.6,0.0,0.01,0.4,0.0,1902,10
Stb0.002,0.69,0.38,0.6,0.0,0.0,0.5,0.0,1902,8
Random0.002,0.69,0.33,0.6,0.0,0.01,0.4,0.0,1902,8
Stb0.001,0.69,0.21,0.2,0.0,0.0,0.5,0.0,1902,5
Random0.001,0.69,0.26,0.8,0.0,0.0,0.6,0.0,1902,5
