Class::Test,DocumentType:20, DocumentType:22, DocumentType:23, DocumentType:24, DocumentType:25, DocumentType:26, DocumentType:30, DocumentType:35, DocumentType:36, DocumentType:37, DocumentType:38, DocumentType:39, DocumentType:40, DocumentType:41, DocumentType:45, 
RegressionTest0::test001, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test002, 1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
RegressionTest0::test003, 1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,
RegressionTest0::test004, 1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
RegressionTest0::test005, 1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,
RegressionTest0::test006, 1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,
RegressionTest0::test007, 1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,
RegressionTest0::test008, 1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,
RegressionTest0::test009, 1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,
RegressionTest0::test010, 1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,
RegressionTest0::test011, 1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,
RegressionTest0::test012, 1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
RegressionTest0::test013, 1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,
RegressionTest0::test014, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test015, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test016, 1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,
RegressionTest0::test017, 1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,
RegressionTest0::test018, 1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
RegressionTest0::test019, 1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
RegressionTest0::test020, 1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,
RegressionTest0::test021, 1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,
RegressionTest0::test022, 1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,
RegressionTest0::test023, 1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,
RegressionTest0::test024, 1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,
RegressionTest0::test025, 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test026, 1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,
RegressionTest0::test027, 1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,
RegressionTest0::test028, 1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,
RegressionTest0::test029, 1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
RegressionTest0::test030, 1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,
RegressionTest0::test031, 1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
RegressionTest0::test032, 1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,
