Class::Test,CharacterReader:29, CharacterReader:33, CharacterReader:37, CharacterReader:64, CharacterReader:75, CharacterReader:87, CharacterReader:89, CharacterReader:90, CharacterReader:96, CharacterReader:107, CharacterReader:109, CharacterReader:120, CharacterReader:122, CharacterReader:132, CharacterReader:134, CharacterReader:143, CharacterReader:156, CharacterReader:160, CharacterReader:161, CharacterReader:168, CharacterReader:171, CharacterReader:175, CharacterReader:178, CharacterReader:182, CharacterReader:191, CharacterReader:203, 
RegressionTest8::test4001, 1,1,0.5,0.5,0,0.5,1,1,0.5,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,
RegressionTest8::test4002, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4003, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4004, 0.5,0,0,0,0,0.5,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,
RegressionTest8::test4005, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4006, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4007, 1,1,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4008, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4009, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4010, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4011, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4012, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4013, 1,1,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4014, 1,1,0.5,0.5,0,0.5,1,1,0.5,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,
RegressionTest8::test4015, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4016, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4017, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4018, 0.5,0.5,0,0,0,0.5,1,1,0.5,0,0,0.5,0.5,0.5,0.5,0,0.5,1,0.5,0,0,0,0,0,0,0,
RegressionTest8::test4019, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4020, 1,1,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4021, 1,1,0.5,0.5,0,1,1,1,0.5,0.5,0.5,0,0,0,0,0.5,0.5,1,0.5,0.5,0.5,0,0,1,0,0,
RegressionTest8::test4022, 1,1,0.5,0.5,0,1,1,1,0.5,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,
RegressionTest8::test4023, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4024, 0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,1,0,0,0,0,0,0,0,
RegressionTest8::test4025, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4026, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4027, 1,1,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4028, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0.5,1,0,0,0,0,0,0,0,
RegressionTest8::test4029, 1,1,0.5,0.5,0,1,1,1,0.5,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,
RegressionTest8::test4030, 1,1,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4031, 1,1,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4032, 1,0.5,0,0,0.5,0.5,0.5,1,0.5,0,0,0,0,0.5,0.5,0,1,0.5,1,0,0,0,0,0.5,0.5,0.5,
RegressionTest8::test4033, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4034, 1,1,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4035, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4036, 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4037, 1,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0.5,1,0,0,0,0,0,0,0,
RegressionTest8::test4038, 1,1,0.5,0.5,0,0.5,1,1,0.5,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,
RegressionTest8::test4039, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4040, 1,1,0.5,0,0,0.5,1,1,0.5,0.5,0.5,0,0,0,0,0.5,0.5,1,0.5,0.5,0.5,0,0,1,0,0,
RegressionTest8::test4041, 1,1,0.5,0.5,0,0.5,1,1,0.5,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,
RegressionTest8::test4042, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4043, 1,1,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4044, 1,1,0.5,0.5,0,1,1,1,0.5,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,
RegressionTest8::test4045, 1,1,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4046, 0.5,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0,0,0,0,0.5,0.5,0,
RegressionTest8::test4047, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4048, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4049, 1,1,0.5,0.5,0,1,1,1,0.5,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,
RegressionTest8::test4050, 1,1,0,0,0,0.5,1,1,0.5,0.5,0.5,0,0,0,0,0.5,0.5,1,0.5,0,0,0,0,1,0,0,
RegressionTest8::test4051, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4052, 1,1,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4053, 1,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0.5,1,0,0,0.5,0,0,0,0.5,
RegressionTest8::test4054, 1,1,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4055, 1,1,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4056, 1,1,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4057, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4058, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4059, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4060, 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest8::test4061, 1,1,0.5,0.5,0,1,1,1,0.5,0.5,0.5,0,0,0,0,0.5,0.5,1,0.5,0.5,0.5,0,0,1,0,0,
RegressionTest8::test4062, 1,1,0,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
