Class::Test,DocumentType:20, DocumentType:22, DocumentType:23, DocumentType:24, DocumentType:25, DocumentType:29, DocumentType:34, DocumentType:35, DocumentType:36, DocumentType:37, DocumentType:38, DocumentType:39, DocumentType:40, DocumentType:41, DocumentType:42, DocumentType:46, 
RegressionTest0::test01, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test02, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test03, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test04, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test05, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,
RegressionTest0::test06, 1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,
RegressionTest0::test07, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test08, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,
RegressionTest0::test09, 1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,
RegressionTest0::test10, 1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test11, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,
RegressionTest0::test12, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test13, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,
RegressionTest0::test14, 1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,
RegressionTest0::test15, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,
RegressionTest0::test16, 1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,
RegressionTest0::test17, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test18, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,
RegressionTest0::test19, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test20, 1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,
RegressionTest0::test21, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test22, 1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,
RegressionTest0::test23, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test24, 1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,
RegressionTest0::test25, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,
RegressionTest0::test26, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test27, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,
RegressionTest0::test28, 1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,
RegressionTest0::test29, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test30, 1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,
RegressionTest0::test31, 1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,
RegressionTest0::test32, 1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test33, 1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,
RegressionTest0::test34, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,
RegressionTest0::test35, 1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,
RegressionTest0::test36, 1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test37, 1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,
RegressionTest0::test38, 1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test39, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test40, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,
RegressionTest0::test41, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test42, 1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,
RegressionTest0::test43, 1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,
RegressionTest0::test44, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,
RegressionTest0::test45, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test46, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,
RegressionTest0::test47, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test48, 1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,
RegressionTest0::test49, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,
RegressionTest0::test50, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,
RegressionTest0::test51, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test52, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,
RegressionTest0::test53, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,
RegressionTest0::test54, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,
RegressionTest0::test55, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test56, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,
RegressionTest0::test57, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,
RegressionTest0::test58, 1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,
RegressionTest0::test59, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,
RegressionTest0::test60, 1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,
RegressionTest0::test61, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test62, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test63, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,
RegressionTest0::test64, 1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,
