Class::Test,AbstractLeastSquaresOptimizer:128, AbstractLeastSquaresOptimizer:134, AbstractLeastSquaresOptimizer:135, AbstractLeastSquaresOptimizer:141, AbstractLeastSquaresOptimizer:154, AbstractLeastSquaresOptimizer:155, AbstractLeastSquaresOptimizer:156, AbstractLeastSquaresOptimizer:168, AbstractLeastSquaresOptimizer:170, AbstractLeastSquaresOptimizer:171, AbstractLeastSquaresOptimizer:172, AbstractLeastSquaresOptimizer:173, AbstractLeastSquaresOptimizer:175, AbstractLeastSquaresOptimizer:176, AbstractLeastSquaresOptimizer:177, AbstractLeastSquaresOptimizer:178, AbstractLeastSquaresOptimizer:180, AbstractLeastSquaresOptimizer:181, AbstractLeastSquaresOptimizer:182, AbstractLeastSquaresOptimizer:183, AbstractLeastSquaresOptimizer:184, AbstractLeastSquaresOptimizer:185, AbstractLeastSquaresOptimizer:186, AbstractLeastSquaresOptimizer:190, AbstractLeastSquaresOptimizer:205, AbstractLeastSquaresOptimizer:206, AbstractLeastSquaresOptimizer:209, AbstractLeastSquaresOptimizer:212, AbstractLeastSquaresOptimizer:213, AbstractLeastSquaresOptimizer:214, AbstractLeastSquaresOptimizer:225, AbstractLeastSquaresOptimizer:226, AbstractLeastSquaresOptimizer:240, AbstractLeastSquaresOptimizer:250, AbstractLeastSquaresOptimizer:260, AbstractLeastSquaresOptimizer:270, AbstractLeastSquaresOptimizer:271, AbstractLeastSquaresOptimizer:285, AbstractLeastSquaresOptimizer:307, AbstractLeastSquaresOptimizer:330, AbstractLeastSquaresOptimizer:333, AbstractLeastSquaresOptimizer:336, AbstractLeastSquaresOptimizer:337, AbstractLeastSquaresOptimizer:338, AbstractLeastSquaresOptimizer:372, AbstractLeastSquaresOptimizer:373, AbstractLeastSquaresOptimizer:374, AbstractLeastSquaresOptimizer:376, AbstractLeastSquaresOptimizer:377, AbstractLeastSquaresOptimizer:378, AbstractLeastSquaresOptimizer:379, AbstractLeastSquaresOptimizer:380, AbstractLeastSquaresOptimizer:382, AbstractLeastSquaresOptimizer:402, AbstractLeastSquaresOptimizer:403, AbstractLeastSquaresOptimizer:404, AbstractLeastSquaresOptimizer:405, AbstractLeastSquaresOptimizer:406, AbstractLeastSquaresOptimizer:408, AbstractLeastSquaresOptimizer:423, AbstractLeastSquaresOptimizer:424, AbstractLeastSquaresOptimizer:459, AbstractLeastSquaresOptimizer:496, AbstractLeastSquaresOptimizer:502, AbstractLeastSquaresOptimizer:505, AbstractLeastSquaresOptimizer:508, AbstractLeastSquaresOptimizer:516, AbstractLeastSquaresOptimizer:519, AbstractLeastSquaresOptimizer:520, AbstractLeastSquaresOptimizer:521, AbstractLeastSquaresOptimizer:522, AbstractLeastSquaresOptimizer:541, AbstractLeastSquaresOptimizer:542, AbstractLeastSquaresOptimizer:543, AbstractLeastSquaresOptimizer:547, AbstractLeastSquaresOptimizer:548, AbstractLeastSquaresOptimizer:549, AbstractLeastSquaresOptimizer:552, AbstractLeastSquaresOptimizer:562, AbstractLeastSquaresOptimizer:563, AbstractLeastSquaresOptimizer:564, AbstractLeastSquaresOptimizer:565, AbstractLeastSquaresOptimizer:566, AbstractLeastSquaresOptimizer:568, AbstractLeastSquaresOptimizer:570, AbstractLeastSquaresOptimizer:571, 
RegressionTest0::test001, 0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test002, 0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test003, 0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test004, 0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test005, 0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test006, 0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test007, 0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test008, 0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test009, 0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test010, 0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
