Class::Test,AbstractLeastSquaresOptimizer:172, AbstractLeastSquaresOptimizer:223, AbstractLeastSquaresOptimizer:229, AbstractLeastSquaresOptimizer:250, AbstractLeastSquaresOptimizer:251, AbstractLeastSquaresOptimizer:267, AbstractLeastSquaresOptimizer:270, Weight:52, 
AbstractLeastSquaresOptimizerTest::testGetChiSquare, 0,0.5,1,0.5,1,0.5,1,0,
AbstractLeastSquaresOptimizerTest::testGetRMS, 0,0.5,1,0.5,1,0.5,1,0,
AbstractLeastSquaresOptimizerTest::testComputeSigma, 1,0.5,1,0.5,1,0.5,1,0,
AbstractLeastSquaresOptimizerTestValidation::testParametersErrorMonteCarloObservations, 1,0.5,1,0.5,1,0.5,1,0,
AbstractLeastSquaresOptimizerTestValidation::testParametersErrorMonteCarloParameters, 1,0.5,1,0.5,1,0.5,1,0,
PolynomialFitterTest::testFit, 0,0.5,1,0.5,1,0.5,1,0,
PolynomialFitterTest::testNoError, 0,0.5,1,0.5,1,0.5,1,0,
PolynomialFitterTest::testSmallError, 0,0.5,1,0.5,1,0.5,1,0,
PolynomialFitterTest::testMath798, 0,0.5,1,0.5,1,0.5,1,0,
PolynomialFitterTest::testMath798WithToleranceTooLow, 0,0.5,1,0.5,1,0.5,1,0,
PolynomialFitterTest::testMath798WithToleranceTooLowButNoException, 0,0.5,1,0.5,1,0.5,1,0,
PolynomialFitterTest::testRedundantSolvable, 0,0.5,1,0.5,1,0.5,1,0,
PolynomialFitterTest::testRedundantUnsolvable, 0,0.5,1,0.5,1,0.5,1,0,
PolynomialFitterTest::testLargeSample, 0,0.5,1,0.5,1,0.5,1,0,
Weight_ESTest::test0, 0,0,0,0,0,0,0,0,
Weight_ESTest::test1, 0,0,0,0,0,0,0,0.5,
Weight_ESTest::test2, 0,0,0,0,0,0,0,0.5,
RegressionTest0::test001, 0,0,0,0,0,0,0,0,
RegressionTest0::test002, 0,0,0,0,0,0,0,0,
RegressionTest0::test003, 0,0,0,0,0,0,0,0.5,
RegressionTest0::test004, 0,0,0,0,0,0,0,0,
RegressionTest0::test005, 0,0,0,0,0,0,0,0,
RegressionTest0::test006, 0,0,0,0.5,0.5,0.5,0,0,
RegressionTest0::test007, 0,0,0,0,0,0,0,0,
RegressionTest0::test008, 0,0,0,0,0,0,0,0,
RegressionTest0::test009, 0,0,0,0,0,0,0,0.5,
RegressionTest0::test010, 0,0,0,0,0,0,0,0,
RegressionTest0::test011, 0,0,0,0,0,0,0,0,
RegressionTest0::test012, 0,0,0,0,0,0,0,0,
RegressionTest0::test013, 0,0,0,0,0,0,0,0,
RegressionTest0::test014, 0,0,0,0,0,0,0,0,
RegressionTest0::test015, 0,0,0,0,0,0,0,0,
