Class::Test,AbstractLeastSquaresOptimizer:53, AbstractLeastSquaresOptimizer:54, AbstractLeastSquaresOptimizer:65, AbstractLeastSquaresOptimizer:76, AbstractLeastSquaresOptimizer:77, AbstractLeastSquaresOptimizer:92, AbstractLeastSquaresOptimizer:102, AbstractLeastSquaresOptimizer:111, AbstractLeastSquaresOptimizer:120, AbstractLeastSquaresOptimizer:121, AbstractLeastSquaresOptimizer:142, AbstractLeastSquaresOptimizer:145, AbstractLeastSquaresOptimizer:148, AbstractLeastSquaresOptimizer:149, AbstractLeastSquaresOptimizer:150, AbstractLeastSquaresOptimizer:169, AbstractLeastSquaresOptimizer:170, AbstractLeastSquaresOptimizer:171, AbstractLeastSquaresOptimizer:172, AbstractLeastSquaresOptimizer:173, AbstractLeastSquaresOptimizer:175, AbstractLeastSquaresOptimizer:201, AbstractLeastSquaresOptimizer:203, AbstractLeastSquaresOptimizer:222, AbstractLeastSquaresOptimizer:223, AbstractLeastSquaresOptimizer:224, AbstractLeastSquaresOptimizer:228, AbstractLeastSquaresOptimizer:229, AbstractLeastSquaresOptimizer:230, AbstractLeastSquaresOptimizer:233, AbstractLeastSquaresOptimizer:250, AbstractLeastSquaresOptimizer:251, AbstractLeastSquaresOptimizer:252, AbstractLeastSquaresOptimizer:255, AbstractLeastSquaresOptimizer:258, AbstractLeastSquaresOptimizer:267, AbstractLeastSquaresOptimizer:268, AbstractLeastSquaresOptimizer:269, AbstractLeastSquaresOptimizer:270, AbstractLeastSquaresOptimizer:271, AbstractLeastSquaresOptimizer:273, AbstractLeastSquaresOptimizer:275, AbstractLeastSquaresOptimizer:276, Weight:41, Weight:42, Weight:43, Weight:44, Weight:51, Weight:52, Weight:53, Weight:54, Weight:57, Weight:58, Weight:66, 
AbstractLeastSquaresOptimizerTest::testGetChiSquare, 1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,
AbstractLeastSquaresOptimizerTest::testGetRMS, 1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,
AbstractLeastSquaresOptimizerTest::testComputeSigma, 1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,
AbstractLeastSquaresOptimizerTestValidation::testParametersErrorMonteCarloObservations, 1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,
AbstractLeastSquaresOptimizerTestValidation::testParametersErrorMonteCarloParameters, 1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,
PolynomialFitterTest::testFit, 1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,
PolynomialFitterTest::testNoError, 1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,
PolynomialFitterTest::testSmallError, 1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,
PolynomialFitterTest::testMath798, 1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,
PolynomialFitterTest::testMath798WithToleranceTooLow, 1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,
