Class::Test,BrentOptimizer:48, BrentOptimizer:52, BrentOptimizer:81, BrentOptimizer:83, BrentOptimizer:84, BrentOptimizer:86, BrentOptimizer:87, BrentOptimizer:90, BrentOptimizer:91, BrentOptimizer:92, BrentOptimizer:110, BrentOptimizer:111, BrentOptimizer:116, BrentOptimizer:117, BrentOptimizer:118, BrentOptimizer:119, BrentOptimizer:122, BrentOptimizer:123, BrentOptimizer:127, BrentOptimizer:128, BrentOptimizer:129, BrentOptimizer:131, BrentOptimizer:132, BrentOptimizer:135, BrentOptimizer:136, BrentOptimizer:137, BrentOptimizer:138, BrentOptimizer:139, BrentOptimizer:140, BrentOptimizer:141, BrentOptimizer:142, BrentOptimizer:144, BrentOptimizer:145, BrentOptimizer:147, BrentOptimizer:148, BrentOptimizer:151, BrentOptimizer:153, BrentOptimizer:155, BrentOptimizer:156, BrentOptimizer:157, BrentOptimizer:160, BrentOptimizer:161, BrentOptimizer:162, BrentOptimizer:163, BrentOptimizer:164, BrentOptimizer:165, BrentOptimizer:167, BrentOptimizer:168, BrentOptimizer:169, BrentOptimizer:170, BrentOptimizer:171, BrentOptimizer:173, BrentOptimizer:174, BrentOptimizer:176, BrentOptimizer:179, BrentOptimizer:180, BrentOptimizer:182, BrentOptimizer:184, BrentOptimizer:186, BrentOptimizer:187, BrentOptimizer:190, BrentOptimizer:191, BrentOptimizer:192, BrentOptimizer:194, BrentOptimizer:199, BrentOptimizer:200, BrentOptimizer:202, BrentOptimizer:204, BrentOptimizer:208, BrentOptimizer:209, BrentOptimizer:211, BrentOptimizer:213, BrentOptimizer:217, BrentOptimizer:218, BrentOptimizer:219, BrentOptimizer:221, BrentOptimizer:224, BrentOptimizer:227, BrentOptimizer:228, BrentOptimizer:229, BrentOptimizer:233, BrentOptimizer:234, BrentOptimizer:235, BrentOptimizer:236, BrentOptimizer:241, BrentOptimizer:242, BrentOptimizer:243, BrentOptimizer:248, BrentOptimizer:249, BrentOptimizer:250, BrentOptimizer:252, BrentOptimizer:254, BrentOptimizer:255, BrentOptimizer:256, BrentOptimizer:257, BrentOptimizer:258, BrentOptimizer:259, BrentOptimizer:261, BrentOptimizer:262, BrentOptimizer:264, BrentOptimizer:266, BrentOptimizer:267, BrentOptimizer:268, BrentOptimizer:269, BrentOptimizer:270, BrentOptimizer:271, BrentOptimizer:272, BrentOptimizer:273, BrentOptimizer:274, BrentOptimizer:275, BrentOptimizer:276, BrentOptimizer:279, BrentOptimizer:280, BrentOptimizer:281, BrentOptimizer:286, BrentOptimizer:287, BrentOptimizer:304, BrentOptimizer:305, BrentOptimizer:307, BrentOptimizer:308, BrentOptimizer:311, BrentOptimizer:312, BrentOptimizer:314, 
RegressionTest0::test001, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test002, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test003, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test004, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test005, 1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test006, 1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test007, 1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test008, 1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test009, 1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,
RegressionTest0::test010, 1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
