Class::Test,SimplexSolver:72, SimplexSolver:76, SimplexSolver:94, SimplexSolver:98, SimplexSolver:103, SimplexSolver:105, SimplexSolver:113, SimplexSolver:115, SimplexSolver:119, SimplexSolver:120, SimplexSolver:121, SimplexSolver:124, SimplexSolver:140, SimplexSolver:143, SimplexSolver:145, SimplexSolver:146, SimplexSolver:147, SimplexSolver:173, SimplexSolver:182, SimplexSolver:183, SimplexSolver:201, SimplexSolver:205, SimplexSolver:210, SimplexSolver:230, 
SimplexSolver_ESTest::test0, 1,1,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0.5,
SimplexSolver_ESTest::test1, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,
SimplexSolverTest::testMath828, 1,1,1,1,1,1,0.5,1,1,0.5,1,0.5,0.5,1,1,1,1,0.5,1,1,0.5,1,0.5,1,
SimplexSolverTest::testMath828Cycle, 1,1,1,1,1,1,0.5,1,1,0.5,1,0.5,1,1,1,1,1,0.5,1,1,0.5,1,0.5,1,
SimplexSolverTest::testMath781, 1,1,1,1,0.5,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,1,1,0.5,1,0.5,1,
SimplexSolverTest::testMath713NegativeVariable, 1,1,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,1,1,0.5,1,0.5,0.5,
SimplexSolverTest::testMath434NegativeVariable, 1,1,1,1,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,1,1,0.5,1,0.5,1,
SimplexSolverTest::testMath434UnfeasibleSolution, 1,1,1,0.5,0.5,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,1,1,0.5,1,0.5,0,
SimplexSolverTest::testMath434PivotRowSelection, 1,1,1,1,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,1,1,0.5,1,0.5,0.5,
SimplexSolverTest::testMath434PivotRowSelection2, 1,1,1,1,1,1,0.5,1,1,1,1,1,0.5,1,1,1,1,0.5,1,1,0.5,1,0.5,1,
SimplexSolverTest::testMath272, 1,1,1,1,1,0.5,0.5,1,0.5,0.5,1,1,0,0,0,0,0,0.5,1,1,0.5,1,0.5,0.5,
SimplexSolverTest::testMath286, 1,1,1,1,1,0.5,0.5,1,0.5,0.5,0.5,0.5,0,0,0,0,0,0.5,1,1,0.5,1,0.5,1,
SimplexSolverTest::testDegeneracy, 1,1,1,1,1,0.5,0.5,1,0.5,0.5,1,0.5,0,0,0,0,0,0.5,1,1,0.5,1,0.5,1,
SimplexSolverTest::testMath288, 1,1,1,1,1,1,0.5,1,0.5,0,0,0,0.5,1,1,1,1,0.5,1,1,0.5,0,0,1,
SimplexSolverTest::testMath290GEQ, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,
SimplexSolverTest::testMath290LEQ, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,
SimplexSolverTest::testMath293, 1,1,1,1,1,1,0.5,1,0.5,0.5,0.5,0.5,0,0,0,0,0,0.5,1,1,0.5,1,0.5,1,
SimplexSolverTest::testSimplexSolver, 1,1,1,1,0.5,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,1,1,0.5,1,0.5,0.5,
SimplexSolverTest::testSingleVariableAndConstraint, 1,1,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,1,1,0.5,0,0,1,
SimplexSolverTest::testModelWithNoArtificialVars, 1,1,1,1,0.5,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,1,1,0.5,0,0,1,
SimplexSolverTest::testMinimization, 1,1,1,1,0.5,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,1,1,0.5,1,0.5,1,
SimplexSolverTest::testSolutionWithNegativeDecisionVariable, 1,1,1,1,0.5,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,1,1,0.5,1,0.5,1,
SimplexSolverTest::testInfeasibleSolution, 1,1,1,0.5,0.5,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,1,1,0.5,1,0.5,0,
SimplexSolverTest::testUnboundedSolution, 1,1,1,1,0.5,0.5,1,0.5,0,0,0,0,0,0,0,0,0,1,1,1,0.5,1,0.5,0.5,
SimplexSolverTest::testRestrictVariablesToNonNegative, 1,1,1,1,0.5,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,1,1,0.5,1,0.5,1,
