Class::Test,MannWhitneyUTest:74, MannWhitneyUTest:78, MannWhitneyUTest:140, 
MannWhitneyUTestTest::testMannWhitneyUSimple, 0.5,0.5,1,
MannWhitneyUTestTest::testMannWhitneyUInputValidation, 1,0.5,0,
MannWhitneyUTestTest::testBigDataSet, 0.5,0.5,1,
RegressionTest0::test001, 0.5,0.5,1,
RegressionTest0::test002, 0.5,0.5,1,
RegressionTest0::test003, 0.5,0.5,1,
RegressionTest0::test004, 0.5,0.5,1,
RegressionTest0::test005, 0.5,0.5,1,
RegressionTest0::test006, 0.5,0.5,1,
RegressionTest0::test007, 0.5,0.5,1,
RegressionTest0::test008, 0.5,0.5,1,
RegressionTest0::test009, 0.5,0.5,1,
RegressionTest0::test010, 0.5,0.5,1,
RegressionTest0::test011, 0.5,0.5,1,
RegressionTest0::test012, 0.5,0.5,1,
RegressionTest0::test013, 0.5,0.5,1,
RegressionTest0::test014, 0.5,0.5,1,
RegressionTest0::test015, 0.5,0.5,1,
RegressionTest0::test016, 0.5,0.5,1,
RegressionTest0::test017, 0.5,0.5,1,
RegressionTest0::test018, 0.5,0.5,1,
RegressionTest0::test019, 0.5,0.5,1,
RegressionTest0::test020, 0,0,0,
RegressionTest0::test021, 0.5,0.5,1,
RegressionTest0::test022, 0,0,0,
RegressionTest0::test023, 0.5,0.5,1,
RegressionTest0::test024, 0.5,0.5,1,
RegressionTest0::test025, 0.5,0.5,1,
RegressionTest0::test026, 0.5,0.5,1,
RegressionTest0::test027, 0.5,0.5,1,
RegressionTest0::test028, 0.5,0.5,1,
RegressionTest0::test029, 0.5,0.5,1,
RegressionTest0::test030, 0.5,0.5,1,
RegressionTest0::test031, 0.5,0.5,1,
RegressionTest0::test032, 0,0,0,
RegressionTest0::test033, 0,0,0,
RegressionTest0::test034, 0.5,0.5,1,
RegressionTest0::test035, 0,0,0,
RegressionTest0::test036, 0.5,0.5,1,
RegressionTest0::test037, 0.5,0.5,1,
RegressionTest0::test038, 0.5,0.5,1,
RegressionTest0::test039, 0.5,0.5,1,
RegressionTest0::test040, 0,0,0,
RegressionTest0::test041, 0.5,0.5,1,
RegressionTest0::test042, 0.5,0.5,1,
RegressionTest0::test043, 0.5,0.5,1,
RegressionTest0::test044, 0.5,0.5,1,
RegressionTest0::test045, 0.5,0.5,1,
RegressionTest0::test046, 0,0,0,
RegressionTest0::test047, 0.5,0.5,1,
RegressionTest0::test048, 0.5,0.5,1,
RegressionTest0::test049, 0.5,0.5,1,
RegressionTest0::test050, 0.5,0.5,1,
RegressionTest0::test051, 0.5,0.5,1,
RegressionTest0::test052, 0.5,0.5,1,
RegressionTest0::test053, 0,0,0,
RegressionTest0::test054, 0.5,0.5,1,
RegressionTest0::test055, 0.5,0.5,1,
RegressionTest0::test056, 0,0,0,
RegressionTest0::test057, 0.5,0.5,1,
RegressionTest0::test058, 0.5,0.5,1,
RegressionTest0::test059, 0.5,0.5,1,
RegressionTest0::test060, 0.5,0.5,1,
RegressionTest0::test061, 0.5,0.5,1,
RegressionTest0::test062, 0.5,0.5,1,
RegressionTest0::test063, 0.5,0.5,1,
RegressionTest0::test064, 0.5,0.5,1,
RegressionTest0::test065, 0.5,0.5,1,
RegressionTest0::test066, 0,0,0,
RegressionTest0::test067, 0.5,0.5,1,
RegressionTest0::test068, 0.5,0.5,1,
RegressionTest0::test069, 0.5,0.5,1,
RegressionTest0::test070, 0.5,0.5,1,
RegressionTest0::test071, 0,0,0,
RegressionTest0::test072, 0,0,0,
RegressionTest0::test073, 0.5,0.5,1,
RegressionTest0::test074, 0,0,0,
RegressionTest0::test075, 0.5,0.5,1,
RegressionTest0::test076, 0.5,0.5,1,
RegressionTest0::test077, 0.5,0.5,1,
RegressionTest0::test078, 0,0,0,
RegressionTest0::test079, 0.5,0.5,1,
RegressionTest0::test080, 0.5,0.5,1,
RegressionTest0::test081, 0.5,0.5,1,
RegressionTest0::test082, 0.5,0.5,1,
RegressionTest0::test083, 0.5,0.5,1,
RegressionTest0::test084, 0.5,0.5,1,
RegressionTest0::test085, 0.5,0.5,1,
RegressionTest0::test086, 0.5,0.5,1,
RegressionTest0::test087, 0,0,0,
RegressionTest0::test088, 0.5,0.5,1,
RegressionTest0::test089, 0.5,0.5,1,
RegressionTest0::test090, 0.5,0.5,1,
RegressionTest0::test091, 0,0,0,
RegressionTest0::test092, 0.5,0.5,1,
RegressionTest0::test093, 0.5,0.5,1,
RegressionTest0::test094, 0.5,0.5,1,
RegressionTest0::test095, 0.5,0.5,1,
RegressionTest0::test096, 0.5,0.5,1,
RegressionTest0::test097, 0.5,0.5,1,
RegressionTest0::test098, 0.5,0.5,1,
RegressionTest0::test099, 0.5,0.5,1,
RegressionTest0::test100, 0,0,0,
RegressionTest0::test101, 0.5,0.5,1,
RegressionTest0::test102, 0.5,0.5,1,
RegressionTest0::test103, 0.5,0.5,1,
RegressionTest0::test104, 0.5,0,0,
RegressionTest0::test105, 0,0,0,
RegressionTest0::test106, 0.5,0.5,1,
RegressionTest0::test107, 0.5,0.5,1,
RegressionTest0::test108, 0.5,0.5,1,
RegressionTest0::test109, 0.5,0.5,1,
RegressionTest0::test110, 0,0,0,
RegressionTest0::test111, 0.5,0.5,1,
RegressionTest0::test112, 0.5,0.5,1,
RegressionTest0::test113, 0.5,0.5,1,
RegressionTest0::test114, 0.5,0.5,1,
RegressionTest0::test115, 0.5,0.5,1,
RegressionTest0::test116, 0,0,0,
RegressionTest0::test117, 0.5,0.5,1,
RegressionTest0::test118, 0.5,0.5,1,
RegressionTest0::test119, 0.5,0.5,1,
RegressionTest0::test120, 0.5,0.5,1,
RegressionTest0::test121, 0.5,0.5,1,
RegressionTest0::test122, 0.5,0.5,1,
RegressionTest0::test123, 0.5,0.5,1,
RegressionTest0::test124, 0,0,0,
RegressionTest0::test125, 0.5,0.5,1,
RegressionTest0::test126, 0.5,0.5,1,
RegressionTest0::test127, 0.5,0.5,1,
RegressionTest0::test128, 0.5,0.5,1,
RegressionTest0::test129, 0.5,0.5,1,
RegressionTest0::test130, 0.5,0.5,1,
RegressionTest0::test131, 0.5,0.5,1,
RegressionTest0::test132, 0.5,0.5,1,
RegressionTest0::test133, 0.5,0,0,
RegressionTest0::test134, 0.5,0.5,0,
RegressionTest0::test135, 0.5,0.5,0,
RegressionTest0::test136, 0.5,0,0,
RegressionTest0::test137, 0.5,0.5,0,
RegressionTest0::test138, 0.5,0.5,0,
RegressionTest0::test139, 0.5,0.5,0,
RegressionTest0::test140, 0.5,0,0,
RegressionTest0::test141, 0.5,0.5,0,
RegressionTest0::test142, 0.5,0.5,0,
RegressionTest0::test143, 0.5,0.5,0,
RegressionTest0::test144, 0.5,0.5,0,
RegressionTest0::test145, 0.5,0,0,
RegressionTest0::test146, 0.5,0.5,0,
RegressionTest0::test147, 0.5,0.5,0,
RegressionTest0::test148, 0.5,0.5,0,
RegressionTest0::test149, 0.5,0.5,0,
RegressionTest0::test150, 0.5,0.5,0,
RegressionTest0::test151, 0.5,0,0,
RegressionTest0::test152, 0.5,0.5,0,
RegressionTest0::test153, 0.5,0,0,
RegressionTest0::test154, 0.5,0.5,0,
RegressionTest0::test155, 0.5,0,0,
RegressionTest0::test156, 0.5,0.5,0,
RegressionTest0::test157, 0.5,0.5,0,
RegressionTest0::test158, 0.5,0.5,0,
RegressionTest0::test159, 0.5,0,0,
RegressionTest0::test160, 0.5,0.5,0,
RegressionTest0::test161, 0.5,0.5,0,
RegressionTest0::test162, 0.5,0.5,0,
RegressionTest0::test163, 0.5,0.5,0,
RegressionTest0::test164, 0.5,0.5,0,
RegressionTest0::test165, 0.5,0.5,0,
RegressionTest0::test166, 0.5,0.5,0,
RegressionTest0::test167, 0.5,0.5,0,
RegressionTest0::test168, 0.5,0,0,
RegressionTest0::test169, 0.5,0.5,0,
RegressionTest0::test170, 0.5,0.5,0,
RegressionTest0::test171, 0.5,0,0,
RegressionTest0::test172, 0.5,0.5,0,
RegressionTest0::test173, 0.5,0.5,0,
RegressionTest0::test174, 0.5,0.5,0,
RegressionTest0::test175, 0.5,0.5,0,
RegressionTest0::test176, 0.5,0.5,0,
RegressionTest0::test177, 0.5,0.5,0,
RegressionTest0::test178, 0.5,0.5,0,
RegressionTest0::test179, 0.5,0.5,0,
RegressionTest0::test180, 0.5,0.5,0,
RegressionTest0::test181, 0.5,0.5,0,
RegressionTest0::test182, 0.5,0.5,0,
RegressionTest0::test183, 0.5,0.5,0,
RegressionTest0::test184, 0.5,0.5,0,
RegressionTest0::test185, 0.5,0,0,
RegressionTest0::test186, 0.5,0.5,0,
RegressionTest0::test187, 0.5,0.5,0,
RegressionTest0::test188, 0.5,0.5,0,
RegressionTest0::test189, 0.5,0.5,0,
RegressionTest0::test190, 0.5,0.5,0,
RegressionTest0::test191, 0.5,0.5,0,
RegressionTest0::test192, 0.5,0.5,0,
RegressionTest0::test193, 0.5,0,0,
RegressionTest0::test194, 0.5,0.5,0,
RegressionTest0::test195, 0.5,0.5,0,
RegressionTest0::test196, 0.5,0.5,0,
RegressionTest0::test197, 0.5,0,0,
RegressionTest0::test198, 0.5,0.5,0,
RegressionTest0::test199, 0.5,0.5,0,
RegressionTest0::test200, 0.5,0,0,
RegressionTest0::test201, 0.5,0.5,0,
RegressionTest0::test202, 0.5,0.5,0,
RegressionTest0::test203, 0.5,0.5,0,
RegressionTest0::test204, 0.5,0.5,0,
RegressionTest0::test205, 0.5,0.5,0,
RegressionTest0::test206, 0.5,0.5,0,
RegressionTest0::test207, 0.5,0.5,0,
RegressionTest0::test208, 0.5,0,0,
RegressionTest0::test209, 0.5,0.5,0,
RegressionTest0::test210, 0.5,0.5,0,
RegressionTest0::test211, 0.5,0.5,0,
RegressionTest0::test212, 0.5,0.5,0,
RegressionTest0::test213, 0.5,0,0,
RegressionTest0::test214, 0.5,0.5,0,
RegressionTest0::test215, 0.5,0,0,
RegressionTest0::test216, 0.5,0.5,0,
RegressionTest0::test217, 0.5,0.5,0,
RegressionTest0::test218, 0.5,0.5,0,
MannWhitneyUTest_ESTest::test0, 0,0,0,
MannWhitneyUTest_ESTest::test1, 0.5,0.5,1,
MannWhitneyUTest_ESTest::test2, 0.5,0,0,
MannWhitneyUTest_ESTest::test3, 0.5,0,0,
MannWhitneyUTest_ESTest::test4, 0.5,0.5,0,
MannWhitneyUTest_ESTest::test5, 0.5,0.5,0,
