Class::Test,MannWhitneyUTest:44, MannWhitneyUTest:45, MannWhitneyUTest:47, MannWhitneyUTest:59, MannWhitneyUTest:60, MannWhitneyUTest:61, MannWhitneyUTest:74, MannWhitneyUTest:76, MannWhitneyUTest:78, MannWhitneyUTest:80, MannWhitneyUTest:82, MannWhitneyUTest:90, MannWhitneyUTest:92, MannWhitneyUTest:93, MannWhitneyUTest:95, MannWhitneyUTest:129, MannWhitneyUTest:131, MannWhitneyUTest:132, MannWhitneyUTest:134, MannWhitneyUTest:140, MannWhitneyUTest:141, MannWhitneyUTest:148, MannWhitneyUTest:153, MannWhitneyUTest:155, MannWhitneyUTest:173, MannWhitneyUTest:176, MannWhitneyUTest:177, MannWhitneyUTest:179, MannWhitneyUTest:181, MannWhitneyUTest:183, MannWhitneyUTest:222, MannWhitneyUTest:224, MannWhitneyUTest:229, MannWhitneyUTest:231, 
MannWhitneyUTestTest::testMannWhitneyUSimple, 1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
MannWhitneyUTestTest::testMannWhitneyUInputValidation, 1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MannWhitneyUTestTest::testBigDataSet, 1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
RegressionTest0::test001, 1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
RegressionTest0::test002, 1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test003, 1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
RegressionTest0::test004, 1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
RegressionTest0::test005, 1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test006, 1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
RegressionTest0::test007, 0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test008, 1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
RegressionTest0::test009, 1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,
