Class::Test,OpenMapRealMatrix:52, OpenMapRealMatrix:103, OpenMapRealMatrix:137, OpenMapRealMatrix:159, OpenMapRealMatrix:165, OpenMapRealMatrix:189, OpenMapRealMatrix:195, OpenMapRealMatrix:197, OpenMapRealMatrix:201, OpenMapRealMatrix:232, OpenMapRealMatrix:246, OpenMapRealMatrix:260, 
OpenMapRealMatrixTest::testMath679, 0.5,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test01, 0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test02, 0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test03, 0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test04, 0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test05, 0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test06, 0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test07, 0.5,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test08, 0.5,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test09, 0.5,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test10, 0.5,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test11, 0.5,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test12, 0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test13, 0.5,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test14, 0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test15, 0.5,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test16, 0.5,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test17, 0.5,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test18, 0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test19, 0.5,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test20, 0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test21, 0.5,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test22, 0.5,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test23, 0.5,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test24, 0.5,0,0,0,0,0,0,0,0,0.5,0,0,
RegressionTest0::test25, 0.5,0,0,0,0,0,0,0,0,0.5,0,0,
RegressionTest0::test26, 0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test27, 0.5,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test28, 0.5,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test29, 0.5,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test30, 0.5,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test31, 0,0,0,0,0,0,0,0,0,0,0,0,
OpenMapRealMatrix_ESTest::test0, 0.5,0,1,0,0,0,0,0,0,0.5,0.5,0,
OpenMapRealMatrix_ESTest::test1, 0.5,0,0,0,0,0,0,0,0,0.5,0,0,
OpenMapRealMatrix_ESTest::test2, 0.5,0,0.5,0,0,0,0,0,0,0,0,0,
OpenMapRealMatrix_ESTest::test3, 0.5,0,0,0,0,0,0,0,0,0,0,0,
OpenMapRealMatrix_ESTest::test4, 0.5,1,0,0,0,0,0,0,0,0.5,0.5,0,
OpenMapRealMatrix_ESTest::test5, 0.5,0,0,1,1,0,0,0,0,0,0.5,0,
OpenMapRealMatrix_ESTest::test6, 0.5,0,0,0,0,1,1,1,1,0,0.5,0,
OpenMapRealMatrix_ESTest::test7, 0.5,0,0,0,0,0,0,0,0,0,0.5,0,
OpenMapRealMatrix_ESTest::test8, 0.5,0,0,0,0,0,0,0,0,0,0,0.5,
OpenMapRealMatrix_ESTest::test9, 0.5,0,0,0,0,0,0,0,0,0,0,0.5,
