Class::Test,KMeansPlusPlusClusterer:39, KMeansPlusPlusClusterer:42, KMeansPlusPlusClusterer:45, KMeansPlusPlusClusterer:48, KMeansPlusPlusClusterer:51, KMeansPlusPlusClusterer:69, KMeansPlusPlusClusterer:70, KMeansPlusPlusClusterer:78, KMeansPlusPlusClusterer:79, KMeansPlusPlusClusterer:80, KMeansPlusPlusClusterer:81, KMeansPlusPlusClusterer:95, KMeansPlusPlusClusterer:96, KMeansPlusPlusClusterer:99, KMeansPlusPlusClusterer:100, KMeansPlusPlusClusterer:101, KMeansPlusPlusClusterer:102, KMeansPlusPlusClusterer:103, KMeansPlusPlusClusterer:105, KMeansPlusPlusClusterer:106, KMeansPlusPlusClusterer:108, KMeansPlusPlusClusterer:109, KMeansPlusPlusClusterer:111, KMeansPlusPlusClusterer:112, KMeansPlusPlusClusterer:114, KMeansPlusPlusClusterer:115, KMeansPlusPlusClusterer:117, KMeansPlusPlusClusterer:119, KMeansPlusPlusClusterer:121, KMeansPlusPlusClusterer:122, KMeansPlusPlusClusterer:123, KMeansPlusPlusClusterer:126, KMeansPlusPlusClusterer:127, KMeansPlusPlusClusterer:128, KMeansPlusPlusClusterer:129, KMeansPlusPlusClusterer:131, KMeansPlusPlusClusterer:132, KMeansPlusPlusClusterer:134, KMeansPlusPlusClusterer:146, KMeansPlusPlusClusterer:147, KMeansPlusPlusClusterer:148, KMeansPlusPlusClusterer:149, KMeansPlusPlusClusterer:150, KMeansPlusPlusClusterer:164, KMeansPlusPlusClusterer:165, KMeansPlusPlusClusterer:168, KMeansPlusPlusClusterer:169, KMeansPlusPlusClusterer:171, KMeansPlusPlusClusterer:172, KMeansPlusPlusClusterer:175, KMeansPlusPlusClusterer:176, KMeansPlusPlusClusterer:177, KMeansPlusPlusClusterer:178, KMeansPlusPlusClusterer:179, KMeansPlusPlusClusterer:180, KMeansPlusPlusClusterer:181, KMeansPlusPlusClusterer:186, KMeansPlusPlusClusterer:187, KMeansPlusPlusClusterer:188, KMeansPlusPlusClusterer:189, KMeansPlusPlusClusterer:190, KMeansPlusPlusClusterer:191, KMeansPlusPlusClusterer:194, KMeansPlusPlusClusterer:196, KMeansPlusPlusClusterer:208, KMeansPlusPlusClusterer:209, KMeansPlusPlusClusterer:210, KMeansPlusPlusClusterer:211, KMeansPlusPlusClusterer:214, KMeansPlusPlusClusterer:215, KMeansPlusPlusClusterer:216, KMeansPlusPlusClusterer:217, KMeansPlusPlusClusterer:218, KMeansPlusPlusClusterer:219, KMeansPlusPlusClusterer:222, KMeansPlusPlusClusterer:223, KMeansPlusPlusClusterer:224, KMeansPlusPlusClusterer:228, KMeansPlusPlusClusterer:231, KMeansPlusPlusClusterer:232, KMeansPlusPlusClusterer:236, KMeansPlusPlusClusterer:237, KMeansPlusPlusClusterer:249, KMeansPlusPlusClusterer:250, KMeansPlusPlusClusterer:251, KMeansPlusPlusClusterer:254, KMeansPlusPlusClusterer:257, KMeansPlusPlusClusterer:258, KMeansPlusPlusClusterer:259, KMeansPlusPlusClusterer:262, KMeansPlusPlusClusterer:265, KMeansPlusPlusClusterer:266, KMeansPlusPlusClusterer:270, KMeansPlusPlusClusterer:271, KMeansPlusPlusClusterer:283, KMeansPlusPlusClusterer:284, KMeansPlusPlusClusterer:285, KMeansPlusPlusClusterer:286, KMeansPlusPlusClusterer:289, KMeansPlusPlusClusterer:290, KMeansPlusPlusClusterer:291, KMeansPlusPlusClusterer:292, KMeansPlusPlusClusterer:293, KMeansPlusPlusClusterer:294, KMeansPlusPlusClusterer:295, KMeansPlusPlusClusterer:296, KMeansPlusPlusClusterer:300, KMeansPlusPlusClusterer:303, KMeansPlusPlusClusterer:304, KMeansPlusPlusClusterer:307, KMeansPlusPlusClusterer:321, KMeansPlusPlusClusterer:322, KMeansPlusPlusClusterer:323, KMeansPlusPlusClusterer:324, KMeansPlusPlusClusterer:325, KMeansPlusPlusClusterer:326, KMeansPlusPlusClusterer:327, KMeansPlusPlusClusterer:329, KMeansPlusPlusClusterer:330, 
RegressionTest0::test01, 1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test02, 1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test03, 1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test04, 1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test05, 1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test06, 1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test07, 1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test08, 1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test09, 1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test10, 1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
