Class::Test,GaussianFitter:68, GaussianFitter:69, GaussianFitter:84, GaussianFitter:85, GaussianFitter:88, GaussianFitter:90, GaussianFitter:91, GaussianFitter:93, GaussianFitter:94, GaussianFitter:98, GaussianFitter:102, GaussianFitter:103, GaussianFitter:105, GaussianFitter:106, GaussianFitter:110, GaussianFitter:120, GaussianFitter:121, GaussianFitter:140, GaussianFitter:141, GaussianFitter:142, GaussianFitter:144, GaussianFitter:145, GaussianFitter:147, GaussianFitter:148, GaussianFitter:156, GaussianFitter:157, GaussianFitter:159, GaussianFitter:169, GaussianFitter:170, GaussianFitter:172, GaussianFitter:173, GaussianFitter:174, GaussianFitter:178, GaussianFitter:179, GaussianFitter:180, GaussianFitter:181, GaussianFitter:182, GaussianFitter:183, GaussianFitter:184, GaussianFitter:185, GaussianFitter:187, GaussianFitter:197, GaussianFitter:198, GaussianFitter:199, GaussianFitter:200, GaussianFitter:203, GaussianFitter:223, GaussianFitter:224, GaussianFitter:226, GaussianFitter:227, GaussianFitter:228, GaussianFitter:229, GaussianFitter:230, GaussianFitter:232, GaussianFitter:233, GaussianFitter:235, GaussianFitter:236, GaussianFitter:237, GaussianFitter:258, GaussianFitter:259, GaussianFitter:261, GaussianFitter:262, GaussianFitter:263, GaussianFitter:264, GaussianFitter:265, GaussianFitter:271, GaussianFitter:272, GaussianFitter:273, GaussianFitter:274, GaussianFitter:275, GaussianFitter:277, GaussianFitter:291, GaussianFitter:302, GaussianFitter:304, GaussianFitter:305, GaussianFitter:307, GaussianFitter:308, GaussianFitter:310, GaussianFitter:311, GaussianFitter:313, GaussianFitter:314, GaussianFitter:316, GaussianFitter:317, GaussianFitter:319, GaussianFitter:320, GaussianFitter:322, GaussianFitter:323, GaussianFitter:325, GaussianFitter:326, GaussianFitter:328, GaussianFitter:329, GaussianFitter:331, 
GaussianFitterTest::testFit01, 1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,
GaussianFitterTest::testFit02, 1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GaussianFitterTest::testFit03, 1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GaussianFitterTest::testFit04, 1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,
GaussianFitterTest::testFit05, 1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,
GaussianFitterTest::testFit06, 1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,
GaussianFitterTest::testFit07, 1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,
GaussianFitterTest::testMath519, 1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,
RegressionTest0::test001, 1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test002, 1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
