Class::Test,NormalDistributionImpl:74, NormalDistributionImpl:126, NormalDistributionImpl:127, NormalDistributionImpl:161, NormalDistributionImpl:164, NormalDistributionImpl:194, NormalDistributionImpl:215, NormalDistributionImpl:236, NormalDistributionImpl:238, 
NormalDistributionImpl_ESTest::test00, 0.5,0,0,0,0,0,0,0,0,
NormalDistributionImpl_ESTest::test01, 0.5,0,0,0,0,0,0,0,0,
NormalDistributionImpl_ESTest::test03, 0.5,0,0,0,0,0,0,0,0,
NormalDistributionImpl_ESTest::test04, 0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,
NormalDistributionImpl_ESTest::test05, 0.5,0,0,0,0,0,0,0,0,
NormalDistributionImpl_ESTest::test06, 0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0,
NormalDistributionImpl_ESTest::test07, 0.5,0.5,0.5,0,0,0,0,0,0,
NormalDistributionImpl_ESTest::test08, 0.5,0,0,0.5,0,0,0,0,0,
NormalDistributionImpl_ESTest::test09, 0.5,0,0,0.5,0.5,0,0,0,0,
NormalDistributionImpl_ESTest::test10, 0.5,0,0,0,0,0,0,0.5,0.5,
