Class::Test,BrentOptimizer:38, BrentOptimizer:43, BrentOptimizer:44, BrentOptimizer:45, BrentOptimizer:46, BrentOptimizer:47, BrentOptimizer:48, BrentOptimizer:57, BrentOptimizer:58, BrentOptimizer:59, BrentOptimizer:90, BrentOptimizer:91, BrentOptimizer:93, BrentOptimizer:94, BrentOptimizer:97, BrentOptimizer:98, BrentOptimizer:99, BrentOptimizer:101, BrentOptimizer:102, BrentOptimizer:105, BrentOptimizer:106, BrentOptimizer:107, BrentOptimizer:108, BrentOptimizer:109, BrentOptimizer:110, BrentOptimizer:111, BrentOptimizer:112, BrentOptimizer:114, BrentOptimizer:115, BrentOptimizer:118, BrentOptimizer:119, BrentOptimizer:120, BrentOptimizer:123, BrentOptimizer:124, BrentOptimizer:125, BrentOptimizer:126, BrentOptimizer:127, BrentOptimizer:129, BrentOptimizer:130, BrentOptimizer:131, BrentOptimizer:132, BrentOptimizer:133, BrentOptimizer:135, BrentOptimizer:136, BrentOptimizer:138, BrentOptimizer:141, BrentOptimizer:142, BrentOptimizer:144, BrentOptimizer:146, BrentOptimizer:148, BrentOptimizer:149, BrentOptimizer:152, BrentOptimizer:154, BrentOptimizer:155, BrentOptimizer:157, BrentOptimizer:162, BrentOptimizer:163, BrentOptimizer:165, BrentOptimizer:167, BrentOptimizer:171, BrentOptimizer:172, BrentOptimizer:174, BrentOptimizer:176, BrentOptimizer:180, BrentOptimizer:181, BrentOptimizer:182, BrentOptimizer:184, BrentOptimizer:187, BrentOptimizer:190, BrentOptimizer:191, BrentOptimizer:192, BrentOptimizer:196, BrentOptimizer:197, BrentOptimizer:198, BrentOptimizer:200, BrentOptimizer:202, BrentOptimizer:203, BrentOptimizer:204, BrentOptimizer:205, BrentOptimizer:206, BrentOptimizer:207, BrentOptimizer:209, BrentOptimizer:210, BrentOptimizer:212, BrentOptimizer:214, BrentOptimizer:216, BrentOptimizer:217, BrentOptimizer:218, BrentOptimizer:219, BrentOptimizer:220, BrentOptimizer:223, BrentOptimizer:224, BrentOptimizer:227, BrentOptimizer:228, BrentOptimizer:229, BrentOptimizer:231, BrentOptimizer:232, 
MultiStartUnivariateRealOptimizerTest::testSinMin, 1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
MultiStartUnivariateRealOptimizerTest::testQuinticMin, 1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
RegressionTest0::test001, 1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test002, 1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test003, 1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test004, 1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test005, 1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test006, 1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test007, 1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test008, 1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
