Class::Test,MultiStartUnivariateRealOptimizer:80, MultiStartUnivariateRealOptimizer:81, MultiStartUnivariateRealOptimizer:82, MultiStartUnivariateRealOptimizer:83, MultiStartUnivariateRealOptimizer:84, MultiStartUnivariateRealOptimizer:85, MultiStartUnivariateRealOptimizer:86, MultiStartUnivariateRealOptimizer:87, MultiStartUnivariateRealOptimizer:88, MultiStartUnivariateRealOptimizer:92, MultiStartUnivariateRealOptimizer:97, MultiStartUnivariateRealOptimizer:102, MultiStartUnivariateRealOptimizer:107, MultiStartUnivariateRealOptimizer:112, MultiStartUnivariateRealOptimizer:117, MultiStartUnivariateRealOptimizer:122, MultiStartUnivariateRealOptimizer:127, MultiStartUnivariateRealOptimizer:132, MultiStartUnivariateRealOptimizer:133, MultiStartUnivariateRealOptimizer:137, MultiStartUnivariateRealOptimizer:138, MultiStartUnivariateRealOptimizer:142, MultiStartUnivariateRealOptimizer:143, MultiStartUnivariateRealOptimizer:147, MultiStartUnivariateRealOptimizer:148, MultiStartUnivariateRealOptimizer:152, MultiStartUnivariateRealOptimizer:153, MultiStartUnivariateRealOptimizer:157, MultiStartUnivariateRealOptimizer:158, MultiStartUnivariateRealOptimizer:162, MultiStartUnivariateRealOptimizer:163, MultiStartUnivariateRealOptimizer:193, MultiStartUnivariateRealOptimizer:194, MultiStartUnivariateRealOptimizer:196, MultiStartUnivariateRealOptimizer:219, MultiStartUnivariateRealOptimizer:220, MultiStartUnivariateRealOptimizer:222, MultiStartUnivariateRealOptimizer:231, MultiStartUnivariateRealOptimizer:232, MultiStartUnivariateRealOptimizer:233, MultiStartUnivariateRealOptimizer:234, MultiStartUnivariateRealOptimizer:237, MultiStartUnivariateRealOptimizer:240, MultiStartUnivariateRealOptimizer:241, MultiStartUnivariateRealOptimizer:242, MultiStartUnivariateRealOptimizer:243, MultiStartUnivariateRealOptimizer:244, MultiStartUnivariateRealOptimizer:245, MultiStartUnivariateRealOptimizer:246, MultiStartUnivariateRealOptimizer:247, MultiStartUnivariateRealOptimizer:248, MultiStartUnivariateRealOptimizer:249, MultiStartUnivariateRealOptimizer:250, MultiStartUnivariateRealOptimizer:251, MultiStartUnivariateRealOptimizer:252, MultiStartUnivariateRealOptimizer:253, MultiStartUnivariateRealOptimizer:254, MultiStartUnivariateRealOptimizer:256, MultiStartUnivariateRealOptimizer:257, MultiStartUnivariateRealOptimizer:262, MultiStartUnivariateRealOptimizer:263, MultiStartUnivariateRealOptimizer:264, MultiStartUnivariateRealOptimizer:265, MultiStartUnivariateRealOptimizer:266, MultiStartUnivariateRealOptimizer:267, MultiStartUnivariateRealOptimizer:268, MultiStartUnivariateRealOptimizer:272, MultiStartUnivariateRealOptimizer:273, MultiStartUnivariateRealOptimizer:274, MultiStartUnivariateRealOptimizer:275, MultiStartUnivariateRealOptimizer:276, MultiStartUnivariateRealOptimizer:277, MultiStartUnivariateRealOptimizer:278, MultiStartUnivariateRealOptimizer:280, MultiStartUnivariateRealOptimizer:281, MultiStartUnivariateRealOptimizer:282, MultiStartUnivariateRealOptimizer:283, MultiStartUnivariateRealOptimizer:284, MultiStartUnivariateRealOptimizer:285, MultiStartUnivariateRealOptimizer:286, MultiStartUnivariateRealOptimizer:287, MultiStartUnivariateRealOptimizer:288, MultiStartUnivariateRealOptimizer:290, MultiStartUnivariateRealOptimizer:291, MultiStartUnivariateRealOptimizer:294, MultiStartUnivariateRealOptimizer:295, MultiStartUnivariateRealOptimizer:296, MultiStartUnivariateRealOptimizer:297, MultiStartUnivariateRealOptimizer:301, MultiStartUnivariateRealOptimizer:302, MultiStartUnivariateRealOptimizer:304, MultiStartUnivariateRealOptimizer:308, MultiStartUnivariateRealOptimizer:316, 
MultiStartUnivariateRealOptimizerTest::testQuinticMin, 1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,
RegressionTest0::test001, 1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test002, 1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test003, 1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test004, 1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test005, 1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test006, 1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test007, 1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test008, 1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
RegressionTest0::test009, 1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
