Class::Test,DiscreteDistribution:92, DiscreteDistribution:95, DiscreteDistribution:125, DiscreteDistribution:126, DiscreteDistribution:127, DiscreteDistribution:144, DiscreteDistribution:160, DiscreteDistribution:162, DiscreteDistribution:182, DiscreteDistribution:189, 
RegressionTest2::test1002, 1,0.5,1,0.5,0.5,1,0,0,0,0,
RegressionTest2::test1003, 1,0.5,1,0.5,0.5,1,0,0,0,0,
RegressionTest2::test1004, 1,0.5,1,0.5,0.5,1,0,0,0,0,
RegressionTest2::test1005, 1,0.5,0,0,0,1,0,0,0,0,
RegressionTest2::test1006, 1,0.5,0,0,0,1,0,0,0,0,
RegressionTest2::test1007, 1,0.5,1,0.5,0.5,1,0,0,0,0,
RegressionTest2::test1008, 1,0.5,1,0.5,0.5,0,0,0,0,0,
RegressionTest2::test1009, 1,0.5,0,0,0,1,0,0,0,0,
RegressionTest2::test1010, 1,0.5,1,0.5,0.5,1,0,0,0,0,
RegressionTest2::test1011, 1,0.5,1,0.5,0.5,1,0,0,0,0,
RegressionTest2::test1012, 1,0.5,0,0,0,1,0,0,0,0,
RegressionTest2::test1013, 1,0.5,1,0.5,0.5,1,0,0,0,0,
RegressionTest2::test1014, 1,0.5,0,0,0,0,0,0,0,0,
RegressionTest2::test1015, 1,0.5,0,0,0,1,0,0,0,0,
RegressionTest2::test1016, 1,0.5,1,0.5,0.5,1,0,0,0,0,
RegressionTest2::test1017, 1,0.5,0,0,0,1,0,0,0,0,
RegressionTest2::test1018, 1,0.5,0,0,0,1,0,0,0,0,
RegressionTest2::test1019, 1,0.5,1,0.5,0.5,1,0,0,0,0,
RegressionTest2::test1020, 1,0.5,1,0.5,0.5,1,0,0,0,0,
RegressionTest2::test1021, 1,0.5,1,0.5,0.5,1,0,0,0,0,
RegressionTest2::test1022, 1,0.5,1,0.5,0.5,1,0,0,0,0,
RegressionTest2::test1023, 1,0.5,0,0,0,1,0,0,0,0,
RegressionTest2::test1024, 1,0.5,0,0,0,0,0,0,0,0,
RegressionTest2::test1025, 1,0.5,0,0,0,0,0,0,0,0,
RegressionTest2::test1026, 1,0.5,0,0,0,1,0,0,0,0,
RegressionTest2::test1027, 1,0.5,0,0,0,1,0,0,0,0,
RegressionTest2::test1028, 1,0.5,0,0,0,1,0,0,0,0,
RegressionTest2::test1029, 1,0.5,0,0,0,1,0,0,0,0,
RegressionTest2::test1030, 1,0.5,1,0.5,1,1,0,0,0,0,
RegressionTest2::test1031, 1,0.5,1,0.5,0.5,1,0,0,0,0,
RegressionTest2::test1032, 1,0.5,0,0,0,0,0,0,0,0,
RegressionTest2::test1033, 1,0.5,1,0.5,0.5,1,0,0,0,0,
RegressionTest2::test1034, 1,0.5,0,0,0,1,0,0,0,0,
RegressionTest2::test1035, 1,0.5,0,0,0,1,0,0,0,0,
RegressionTest2::test1036, 1,0.5,0,0,0,1,0,0,0,0,
RegressionTest2::test1037, 1,0.5,1,0.5,0.5,1,0,0,0,0,
RegressionTest2::test1038, 1,0.5,0,0,0,0,0,0,0,0,
RegressionTest2::test1039, 1,0.5,0,0,0,1,0,0,0,0,
RegressionTest2::test1040, 1,0.5,1,0.5,0.5,1,0,0,0,0,
RegressionTest2::test1041, 1,0.5,0,0,0,0,0,0,0,0,
RegressionTest2::test1042, 1,0.5,1,0.5,0.5,1,0,0,0,0,
RegressionTest2::test1043, 1,0.5,0,0,0,1,0,0,0,0,
RegressionTest2::test1044, 1,0.5,0,0,0,0,0,0,0,0,
RegressionTest2::test1045, 1,0.5,1,0.5,0.5,1,0,0,0,0,
RegressionTest2::test1046, 1,0.5,1,0.5,0.5,1,0,0,0,0,
RegressionTest2::test1047, 1,0.5,1,0.5,0.5,1,0,0,0,0,
RegressionTest2::test1048, 1,0.5,1,0.5,1,1,0,0,0,0,
RegressionTest2::test1049, 1,0.5,0,0,0,0,0,0,0,0,
RegressionTest2::test1050, 1,0.5,0,0,0,0,0,0,0,0,
RegressionTest2::test1051, 1,0.5,1,0.5,0.5,1,0,0,0,0,
RegressionTest2::test1052, 1,0.5,0,0,0,1,0,0,0,0,
RegressionTest2::test1053, 1,0.5,0,0,0,1,0,0,0,0,
RegressionTest2::test1054, 1,0.5,1,0.5,0.5,1,0,0,0,0,
RegressionTest2::test1055, 1,0.5,1,0.5,1,1,0,0,0,0,
RegressionTest2::test1056, 1,0.5,0,0,0,1,0,0,0,0,
RegressionTest2::test1057, 0,0,0,0,0,0,0,0,0,0,
RegressionTest2::test1058, 1,0.5,1,0.5,0.5,1,0,0,0,0,
RegressionTest2::test1059, 1,0.5,1,0.5,0.5,1,0,0,0,0,
RegressionTest2::test1060, 1,0.5,0,0,0,0,0,0,0,0,
RegressionTest2::test1061, 1,0.5,0,0,0,0,0,0,0,0,
RegressionTest2::test1062, 1,0.5,1,0.5,0.5,1,0,0,0,0,
RegressionTest2::test1063, 1,0.5,1,0.5,0.5,1,0,0,0,0,
RegressionTest2::test1064, 1,0.5,1,0.5,0.5,1,0,0,0,0,
