Class::Test,Line:76, Line:148, Line:156, Line:177, Line:197, Line:217, 
OLSMultipleLinearRegressionTest::testLongly, 0,0,0,0,0,0,
OLSMultipleLinearRegressionTest::testSwissFertility, 0,0,0,0,0,0,
OLSMultipleLinearRegressionTest::testHat, 0,0,0,0,0,0,
OLSMultipleLinearRegressionTest::testYVariance, 0,0,0,0,0,0,
OLSMultipleLinearRegressionTest::testNewSample2, 0,0,0,0,0,0,
OLSMultipleLinearRegressionTest::testNewSampleDataYNull, 0,0,0,0,0,0,
OLSMultipleLinearRegressionTest::testNewSampleDataXNull, 0,0,0,0,0,0,
OLSMultipleLinearRegressionTest::testWampler1, 0,0,0,0,0,0,
OLSMultipleLinearRegressionTest::testWampler2, 0,0,0,0,0,0,
OLSMultipleLinearRegressionTest::testWampler3, 0,0,0,0,0,0,
OLSMultipleLinearRegressionTest::testWampler4, 0,0,0,0,0,0,
GLSMultipleLinearRegressionTest::cannotAddXSampleData, 0,0,0,0,0,0,
GLSMultipleLinearRegressionTest::cannotAddNullYSampleData, 0,0,0,0,0,0,
GLSMultipleLinearRegressionTest::cannotAddSampleDataWithSizeMismatch, 0,0,0,0,0,0,
GLSMultipleLinearRegressionTest::cannotAddNullCovarianceData, 0,0,0,0,0,0,
GLSMultipleLinearRegressionTest::notEnoughData, 0,0,0,0,0,0,
GLSMultipleLinearRegressionTest::cannotAddCovarianceDataWithSampleSizeMismatch, 0,0,0,0,0,0,
GLSMultipleLinearRegressionTest::cannotAddCovarianceDataThatIsNotSquare, 0,0,0,0,0,0,
GLSMultipleLinearRegressionTest::testYVariance, 0,0,0,0,0,0,
GLSMultipleLinearRegressionTest::testNewSample2, 0,0,0,0,0,0,
GLSMultipleLinearRegressionTest::testGLSOLSConsistency, 0,0,0,0,0,0,
GLSMultipleLinearRegressionTest::testGLSEfficiency, 0,0,0,0,0,0,
NonLinearConjugateGradientOptimizerTest::testTrivial, 0,0,0,0,0,0,
NonLinearConjugateGradientOptimizerTest::testColumnsPermutation, 0,0,0,0,0,0,
NonLinearConjugateGradientOptimizerTest::testNoDependency, 0,0,0,0,0,0,
NonLinearConjugateGradientOptimizerTest::testOneSet, 0,0,0,0,0,0,
NonLinearConjugateGradientOptimizerTest::testTwoSets, 0,0,0,0,0,0,
NonLinearConjugateGradientOptimizerTest::testNonInversible, 0,0,0,0,0,0,
NonLinearConjugateGradientOptimizerTest::testIllConditioned, 0,0,0,0,0,0,
NonLinearConjugateGradientOptimizerTest::testMoreEstimatedParametersSimple, 0,0,0,0,0,0,
NonLinearConjugateGradientOptimizerTest::testMoreEstimatedParametersUnsorted, 0,0,0,0,0,0,
NonLinearConjugateGradientOptimizerTest::testRedundantEquations, 0,0,0,0,0,0,
NonLinearConjugateGradientOptimizerTest::testInconsistentEquations, 0,0,0,0,0,0,
NonLinearConjugateGradientOptimizerTest::testCircleFitting, 0,0,0,0,0,0,
NonLinearConjugateGradientOptimizerTest::testBoundsUnsupported, 0,0,0,0,0,0,
LinearInterpolatorTest::testInterpolateLinearDegenerateTwoSegment, 0,0,0,0,0,0,
LinearInterpolatorTest::testInterpolateLinearDegenerateThreeSegment, 0,0,0,0,0,0,
LinearInterpolatorTest::testInterpolateLinear, 0,0,0,0,0,0,
LinearInterpolatorTest::testIllegalArguments, 0,0,0,0,0,0,
LineTest::testContains, 0,0,0,0,0,0,
LineTest::testSimilar, 0.5,0.5,0.5,0,0,0,
LineTest::testPointDistance, 0.5,0,0,0,0,0,
LineTest::testLineDistance, 0.5,0,0,1,0,0,
LineTest::testClosest, 0.5,0,0,0,0.5,0,
LineTest::testIntersection, 0,0,0,0,0,0,
LineTest::testRevert, 0.5,0,0,0,0,0,
RegressionTest0::test001, 0,0,0,0,0,0,
RegressionTest0::test002, 0.5,0,0,0,0,0,
RegressionTest0::test003, 0.5,0,0,0,0,0,
RegressionTest0::test004, 0.5,0,0,0,0,0,
RegressionTest0::test005, 0.5,0,0,0,0,0,
RegressionTest0::test006, 0.5,0,0,0,0,0,
RegressionTest0::test007, 0.5,0,0,0,0,0,
RegressionTest0::test008, 0.5,0,0,0,0,0,
RegressionTest0::test009, 0.5,0,0,0,0,0,
RegressionTest0::test010, 0.5,0,0,0,0,0,
RegressionTest0::test011, 0.5,0,0,0,0,0,
RegressionTest0::test012, 0.5,0,0,0,0,0,
RegressionTest0::test013, 0.5,0,0,0,0,0,
RegressionTest0::test014, 0.5,0,0,0,0,0,
RegressionTest0::test015, 0.5,0,0,0,0,0,
RegressionTest0::test016, 0.5,0,0,0,0,0,
RegressionTest0::test017, 0.5,0,0,0,0,0,
RegressionTest0::test018, 0.5,0,0,0,0,0,
RegressionTest0::test019, 0.5,0,0,0,0,0,
RegressionTest0::test020, 0.5,0,0,0,0,0,
RegressionTest0::test021, 0.5,0,0,0,0,0,
RegressionTest0::test022, 0.5,0,0,0,0,0,
RegressionTest0::test023, 0.5,0,0,0,0,0,
RegressionTest0::test024, 0.5,0,0,0,0,0,
RegressionTest0::test025, 0.5,0,0,0,0,0,
RegressionTest0::test026, 0.5,0,0,0,0,0,
RegressionTest0::test027, 0.5,0,0,0,0,0,
RegressionTest0::test028, 0.5,0,0,0,0,0,
RegressionTest0::test029, 0.5,0,0,0,0,0,
RegressionTest0::test030, 0.5,0,0,0,0,0,
RegressionTest0::test031, 0.5,0,0,0,0,0,
RegressionTest0::test032, 0.5,0,0,0,0,0,
RegressionTest0::test033, 0.5,0,0,0,0,0,
RegressionTest0::test034, 0.5,0,0,0,0,0,
RegressionTest0::test035, 0.5,0,0,0,0,0,
RegressionTest0::test036, 0.5,0,0,0,0,0,
RegressionTest0::test037, 0.5,0,0,0,0,0,
RegressionTest0::test038, 0.5,0,0,0,0,0,
RegressionTest0::test039, 0.5,0,0,0,0,0,
RegressionTest0::test040, 0.5,0,0,0,0,0,
RegressionTest0::test041, 0.5,0,0,0,0,0,
RegressionTest0::test042, 0.5,0,0,0,0,0,
RegressionTest0::test043, 0.5,0,0,0,0,0,
RegressionTest0::test044, 0.5,0,0,0,0,0,
RegressionTest0::test045, 0.5,0,0,0,0,0,
RegressionTest0::test046, 0.5,0,0,0,0,0,
RegressionTest0::test047, 0.5,0,0,0,0,0,
RegressionTest0::test048, 0.5,0,0,0,0,0,
RegressionTest0::test049, 0.5,0,0,0,0,0,
RegressionTest0::test050, 0.5,0,0,0,0,0,
RegressionTest0::test051, 0.5,0,0,0,0,0,
RegressionTest0::test052, 0.5,0,0,0,0,0,
RegressionTest0::test053, 0.5,0,0,0,0,0,
RegressionTest0::test054, 0.5,0,0,0,0,0,
RegressionTest0::test055, 0.5,0,0,0,0,0,
RegressionTest0::test056, 0.5,0,0,0,0,0,
RegressionTest0::test057, 0.5,0,0,0,0,0,
RegressionTest0::test058, 0.5,0,0,0,0,0,
RegressionTest0::test059, 0.5,0,0,0,0,0,
RegressionTest0::test060, 0.5,0,0,0,0,0,
RegressionTest0::test061, 0.5,0,0,0,0,0,
RegressionTest0::test062, 0.5,0,0,0,0,0,
RegressionTest0::test063, 0.5,0,0,0,0,0,
RegressionTest0::test064, 0.5,0,0,0,0,0,
RegressionTest0::test065, 0.5,0,0,0,0,0,
RegressionTest0::test066, 0.5,0,0,0,0,0,
RegressionTest0::test067, 0.5,0,0,0,0,0,
RegressionTest0::test068, 0.5,0,0,0,0,0,
RegressionTest0::test069, 0.5,0,0,0,0,0,
RegressionTest0::test070, 0.5,0,0,0,0,0,
RegressionTest0::test071, 0.5,0,0,0,0,0,
RegressionTest0::test072, 0.5,0,0,0,0,0,
RegressionTest0::test073, 0.5,0,0.5,0,0,0,
RegressionTest0::test074, 0.5,0,0,0,0,0,
RegressionTest0::test075, 0.5,0,0,0,0,0,
RegressionTest0::test076, 0.5,0,0,0,0,0,
RegressionTest0::test077, 0.5,0,0,0,0,0,
RegressionTest0::test078, 0.5,0,0,0,0,0,
RegressionTest0::test079, 0.5,0,0,0,0,0,
RegressionTest0::test080, 0.5,0,0,0,0,0,
RegressionTest0::test081, 0.5,0,0,0,0,0,
RegressionTest0::test082, 0.5,0,0,0,0,0,
RegressionTest0::test083, 0.5,0,0,0,0,0,
RegressionTest0::test084, 0.5,0,0,0,0,0,
RegressionTest0::test085, 0.5,0,0,0,0,0,
RegressionTest0::test086, 0.5,0,0,0,0,0,
RegressionTest0::test087, 0.5,0,0,0,0,0,
RegressionTest0::test088, 0.5,0,0,0,0,0,
RegressionTest0::test089, 0.5,0,0.5,0,0,0,
RegressionTest0::test090, 0.5,0,0,0,0,0,
RegressionTest0::test091, 0.5,0,0,0,0,0,
RegressionTest0::test092, 0.5,0,0,0,0,0,
RegressionTest0::test093, 0.5,0,0,0,0,0,
RegressionTest0::test094, 0.5,0,0.5,0,0,0,
RegressionTest0::test095, 0.5,0,0,0,0,0,
RegressionTest0::test096, 0.5,0,0,0,0,0,
RegressionTest0::test097, 0.5,0,0,0,0,0,
RegressionTest0::test098, 0.5,0,0,0,0,0,
RegressionTest0::test099, 0.5,0,0,0,0,0,
