Key,Value,Count
Access modifier,public,297
Access modifier,private,171
Access modifier,protected,147
Access modifier,package-private,42
Is static,False,599
Is static,True,58
Is void,Non-void,426
Is void,Void,227
Is void,Constructor,4
Mutator,NegateConditionalsMutator,282
Mutator,VoidMethodCallMutator,120
Mutator,NullReturnValsMutator,54
Mutator,ConditionalsBoundaryMutator,49
Mutator,EmptyObjectReturnValsMutator,41
Mutator,BooleanTrueReturnValsMutator,37
Mutator,MathMutator,35
Mutator,PrimitiveReturnsMutator,22
Mutator,BooleanFalseReturnValsMutator,15
Mutator,IncrementsMutator,2
Nesting level,0,440
Nesting level,1,120
Nesting level,2,46
Nesting level,3,21
Nesting level,4,14
Nesting level,5,12
Nesting level,6,4
Type of node,IfStatement,194
Type of node,ReturnStatement,169
Type of node,BinaryOperation,134
Type of node,MethodInvocation,120
Type of node,TernaryExpression,21
Type of node,ForStatement,19
