Class::Test , 214::NegateConditionalsMutator::58 , 205::VoidMethodCallMutator::4 , 206::VoidMethodCallMutator::8 , 211::VoidMethodCallMutator::40 , 220::NullReturnValsMutator::87 , 244::NegateConditionalsMutator::34 , 236::VoidMethodCallMutator::4 , 237::VoidMethodCallMutator::8 , 238::VoidMethodCallMutator::12 , 251::NullReturnValsMutator::71 , 294::NegateConditionalsMutator::29 , 300::NegateConditionalsMutator::59 , 285::VoidMethodCallMutator::4 , 286::VoidMethodCallMutator::8 , 287::VoidMethodCallMutator::12 , 307::VoidMethodCallMutator::102 , 311::NullReturnValsMutator::121 , 185::VoidMethodCallMutator::4 , 188::VoidMethodCallMutator::25 , 191::NullReturnValsMutator::41 , 90::NullReturnValsMutator::194 , 116::NullReturnValsMutator::60 , 359::NegateConditionalsMutator::18 , 362::VoidMethodCallMutator::52 , 365::NullReturnValsMutator::59 , 322::NegateConditionalsMutator::18 , 323::NegateConditionalsMutator::28 , 324::NegateConditionalsMutator::35 , 327::NegateConditionalsMutator::49 , 327::NegateConditionalsMutator::58 , 333::NegateConditionalsMutator::75 , 333::NegateConditionalsMutator::81 , 329::BooleanFalseReturnValsMutator::69 , 327::BooleanTrueReturnValsMutator::65 , 333::BooleanTrueReturnValsMutator::87 , 335::BooleanTrueReturnValsMutator::91 , 315::BooleanFalseReturnValsMutator::8 , 315::BooleanTrueReturnValsMutator::8 , 63::NullReturnValsMutator::6 , 270::NullReturnValsMutator::9 , 133::NullReturnValsMutator::431 , 73::NullReturnValsMutator::33 , 342::NegateConditionalsMutator::12 , 344::NegateConditionalsMutator::22 , 349::NegateConditionalsMutator::60 , 350::BooleanFalseReturnValsMutator::64 , 353::BooleanTrueReturnValsMutator::71 
CleanerTest::basicBehaviourTest , 1 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 
CleanerTest::basicWithImagesTest , 1 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 
CleanerTest::dropsUnresolvableRelativeLinks , 1 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 
CleanerTest::handlesCustomProtocols , 1 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 1 , 1 , 
CleanerTest::preservesRelatedLinksIfConfigured , 1 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 
CleanerTest::resolvesRelativeLinks , 1 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 1 , 0 , 
CleanerTest::simpleBehaviourTest , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 
CleanerTest::simpleBehaviourTest2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 
CleanerTest::testCleanJavascriptHref , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 1 , 1 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , 0 , 1 , 
CleanerTest::testDropComments , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 
CleanerTest::testDropImageScript , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 1 , 1 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , 0 , 1 , 
CleanerTest::testDropScript , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 
CleanerTest::testDropXmlProc , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 
