Class::Test , 31::VoidMethodCallMutator::8 , 45::NegateConditionalsMutator::15 , 42::VoidMethodCallMutator::4 , 48::NullReturnValsMutator::28 , 115::VoidMethodCallMutator::22 , 116::PrimitiveReturnsMutator::27 , 130::IncrementsMutator::62 , 127::NegateConditionalsMutator::53 , 128::VoidMethodCallMutator::58 , 133::VoidMethodCallMutator::77 , 135::NullReturnValsMutator::85 , 66::NegateConditionalsMutator::23 , 62::VoidMethodCallMutator::4 , 66::BooleanTrueReturnValsMutator::29 
CleanerTest::addsTagOnAttributesIfNotSet , 0 , 1 , 0 , 1 , 1 , 0 , 0 , 1 , 1 , 0 , 1 , 0 , 0 , 0 , 
CleanerTest::basicBehaviourTest , 0 , 1 , 0 , 1 , 1 , 0 , 0 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 
CleanerTest::basicWithImagesTest , 0 , 1 , 0 , 1 , 1 , 0 , 0 , 1 , 1 , 0 , 1 , 0 , 0 , 0 , 
CleanerTest::cleansInternationalText , 0 , 1 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
CleanerTest::dropsUnresolvableRelativeLinks , 0 , 1 , 0 , 1 , 1 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 0 , 0 , 
CleanerTest::handlesAllPseudoTag , 0 , 1 , 0 , 1 , 1 , 0 , 0 , 1 , 1 , 0 , 1 , 0 , 0 , 0 , 
CleanerTest::handlesCustomProtocols , 0 , 1 , 0 , 1 , 1 , 0 , 0 , 1 , 1 , 0 , 1 , 0 , 0 , 0 , 
CleanerTest::handlesFramesets , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
CleanerTest::preservesRelativeLinksIfConfigured , 0 , 1 , 0 , 1 , 1 , 0 , 0 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 
CleanerTest::resolvesRelativeLinks , 0 , 1 , 0 , 1 , 1 , 0 , 0 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 
CleanerTest::simpleBehaviourTest , 0 , 1 , 0 , 1 , 1 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 
CleanerTest::simpleBehaviourTest2 , 0 , 1 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 
CleanerTest::supplyOutputSettings , 0 , 1 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 
CleanerTest::testCleanJavascriptHref , 0 , 1 , 0 , 1 , 1 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 
CleanerTest::testDropComments , 0 , 1 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 
CleanerTest::testDropImageScript , 0 , 1 , 0 , 1 , 1 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 
CleanerTest::testDropScript , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
CleanerTest::testDropXmlProc , 0 , 1 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 
CleanerTest::testDropsUnknownTags , 0 , 1 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 
CleanerTest::testHandlesEmptyAttributes , 0 , 1 , 0 , 1 , 1 , 0 , 0 , 1 , 1 , 0 , 1 , 0 , 0 , 0 , 
CleanerTest::testIsValid , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 1 , 0 , 0 , 1 , 1 , 0 , 1 , 
CleanerTest::testRelaxed , 0 , 1 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 
Cleaner_ESTest::test0 , 0 , 1 , 0 , 1 , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 1 , 0 , 1 , 
Cleaner_ESTest::test1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
Cleaner_ESTest::test2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 
Cleaner_ESTest::test3 , 0 , 1 , 0 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 1 , 
Cleaner_ESTest::test4 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 1 , 1 , 0 , 0 , 
