Class::Test , 168::NegateConditionalsMutator::4 , 170::NegateConditionalsMutator::17 , 173::NegateConditionalsMutator::36 , 175::NegateConditionalsMutator::43 , 177::NegateConditionalsMutator::57 , 168::EmptyObjectReturnValsMutator::6 , 173::EmptyObjectReturnValsMutator::38 , 175::EmptyObjectReturnValsMutator::46 , 177::EmptyObjectReturnValsMutator::60 , 180::EmptyObjectReturnValsMutator::70 , 183::EmptyObjectReturnValsMutator::74 , 41::NegateConditionalsMutator::42 , 42::VoidMethodCallMutator::32 , 39::NullReturnValsMutator::36 , 56::NullReturnValsMutator::13 , 70::NullReturnValsMutator::13 , 117::ConditionalsBoundaryMutator::152 , 78::NegateConditionalsMutator::8 , 83::NegateConditionalsMutator::34 , 86::NegateConditionalsMutator::40 , 88::NegateConditionalsMutator::51 , 88::NegateConditionalsMutator::55 , 90::NegateConditionalsMutator::62 , 101::NegateConditionalsMutator::91 , 101::NegateConditionalsMutator::94 , 101::NegateConditionalsMutator::98 , 113::NegateConditionalsMutator::147 , 117::NegateConditionalsMutator::152 , 117::NegateConditionalsMutator::157 , 110::VoidMethodCallMutator::135 , 123::NullReturnValsMutator::181 , 158::NullReturnValsMutator::6 , 134::ConditionalsBoundaryMutator::4 , 135::ConditionalsBoundaryMutator::15 , 145::ConditionalsBoundaryMutator::58 , 149::MathMutator::73 , 134::NegateConditionalsMutator::4 , 135::NegateConditionalsMutator::15 , 143::NegateConditionalsMutator::48 , 144::NegateConditionalsMutator::53 , 145::NegateConditionalsMutator::58 , 134::VoidMethodCallMutator::11 , 146::VoidMethodCallMutator::65 , 151::VoidMethodCallMutator::81 , 154::NullReturnValsMutator::92 
DataUtilTest::discardsSpuriousByteOrderMark , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
DataUtilTest::shouldCorrectCharsetForDuplicateCharsetString , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
DataUtilTest::shouldNotThrowExceptionOnEmptyCharset , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
DataUtilTest::shouldReturnNullForIllegalCharsetNames , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
DataUtilTest::shouldSelectFirstCharsetOnWeirdMultileCharsetsInMetaTags , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
DataUtilTest::testCharset , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
DataUtilTest::testQuotedCharset , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
DataUtil_ESTest::test00 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , 1 , 1 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 
DataUtil_ESTest::test01 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
DataUtil_ESTest::test02 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
