Class::Test , 29::EmptyObjectReturnValsMutator::4 , 35::NegateConditionalsMutator::13 , 37::NegateConditionalsMutator::30 , 39::NegateConditionalsMutator::49 
DocumentTypeTest::outerHtmlGeneration , 0 , 1 , 1 , 1 , 
DocumentType_ESTest::test1 , 1 , 0 , 0 , 0 , 
DocumentType_ESTest::test2 , 0 , 1 , 1 , 1 , 
DocumentType_ESTest::test3 , 0 , 1 , 1 , 1 , 
RegressionTest0::test06 , 1 , 0 , 0 , 0 , 
RegressionTest0::test09 , 0 , 1 , 1 , 1 , 
RegressionTest0::test10 , 1 , 0 , 0 , 0 , 
RegressionTest0::test14 , 1 , 0 , 0 , 0 , 
RegressionTest0::test16 , 0 , 1 , 1 , 1 , 
RegressionTest0::test20 , 1 , 0 , 0 , 0 , 
RegressionTest0::test22 , 1 , 0 , 0 , 0 , 
RegressionTest0::test24 , 1 , 1 , 1 , 1 , 
RegressionTest0::test28 , 1 , 1 , 1 , 1 , 
RegressionTest0::test30 , 1 , 1 , 1 , 1 , 
RegressionTest0::test31 , 0 , 1 , 1 , 1 , 
RegressionTest0::test32 , 1 , 0 , 0 , 0 , 
RegressionTest0::test33 , 1 , 0 , 0 , 0 , 
RegressionTest0::test35 , 1 , 0 , 0 , 0 , 
RegressionTest0::test36 , 1 , 0 , 0 , 0 , 
RegressionTest0::test37 , 1 , 0 , 0 , 0 , 
RegressionTest0::test38 , 1 , 0 , 0 , 0 , 
RegressionTest0::test42 , 0 , 1 , 1 , 1 , 
RegressionTest0::test43 , 1 , 1 , 1 , 1 , 
RegressionTest0::test48 , 1 , 1 , 1 , 1 , 
RegressionTest0::test58 , 1 , 0 , 0 , 0 , 
RegressionTest0::test60 , 1 , 0 , 0 , 0 , 
RegressionTest0::test64 , 1 , 0 , 0 , 0 , 
RegressionTest0::test66 , 1 , 0 , 0 , 0 , 
RegressionTest0::test69 , 1 , 0 , 0 , 0 , 
RegressionTest0::test72 , 1 , 0 , 0 , 0 , 
RegressionTest0::test73 , 1 , 0 , 0 , 0 , 
RegressionTest0::test80 , 1 , 0 , 0 , 0 , 
RegressionTest0::test86 , 1 , 0 , 0 , 0 , 
RegressionTest0::test87 , 1 , 0 , 0 , 0 , 
RegressionTest0::test92 , 1 , 0 , 0 , 0 , 
RegressionTest0::test93 , 1 , 0 , 0 , 0 , 
