Class::Test , 122::EmptyObjectReturnValsMutator::7 , 58::MathMutator::17 , 54::NegateConditionalsMutator::4 , 59::VoidMethodCallMutator::25 , 55::EmptyObjectReturnValsMutator::8 , 60::EmptyObjectReturnValsMutator::31 , 84::ConditionalsBoundaryMutator::35 , 94::ConditionalsBoundaryMutator::79 , 89::MathMutator::65 , 95::MathMutator::87 , 76::NegateConditionalsMutator::4 , 79::NegateConditionalsMutator::16 , 84::NegateConditionalsMutator::35 , 86::NegateConditionalsMutator::47 , 94::NegateConditionalsMutator::79 , 88::VoidMethodCallMutator::59 , 108::MathMutator::6 , 110::VoidMethodCallMutator::23 , 111::NullReturnValsMutator::30 
CharSequenceTranslator_ESTest::test0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
CharSequenceTranslator_ESTest::test1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 
CharSequenceTranslator_ESTest::test2 , 0 , 0 , 1 , 1 , 0 , 1 , 1 , 1 , 0 , 0 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 
CharSequenceTranslator_ESTest::test3 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
CharSequenceTranslator_ESTest::test4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
CharSequenceTranslator_ESTest::test5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
CharSequenceTranslator_ESTest::test6 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , 1 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 
RegressionTest0::test0002 , 0 , 0 , 1 , 1 , 0 , 1 , 1 , 1 , 0 , 0 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 
RegressionTest0::test0005 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
RegressionTest0::test0006 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
RegressionTest0::test0007 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 
RegressionTest0::test0008 , 0 , 0 , 1 , 1 , 0 , 1 , 1 , 0 , 0 , 0 , 1 , 1 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 
RegressionTest0::test0009 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
RegressionTest0::test0010 , 0 , 0 , 1 , 1 , 0 , 1 , 1 , 0 , 0 , 0 , 1 , 1 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 
