Key,Value,Count
Access modifier,public,189
Access modifier,package-private,64
Access modifier,private,15
Is static,False,172
Is static,True,96
Is void,Non-void,207
Is void,Void,60
Is void,Constructor,1
Mutator,NegateConditionalsMutator,108
Mutator,VoidMethodCallMutator,55
Mutator,NullReturnValsMutator,48
Mutator,ConditionalsBoundaryMutator,16
Mutator,MathMutator,14
Mutator,PrimitiveReturnsMutator,10
Mutator,IncrementsMutator,7
Mutator,BooleanTrueReturnValsMutator,4
Mutator,BooleanFalseReturnValsMutator,3
Mutator,EmptyObjectReturnValsMutator,2
Mutator,InvertNegsMutator,1
Nesting level,0,156
Nesting level,1,61
Nesting level,2,27
Nesting level,3,15
Nesting level,4,6
Nesting level,5,2
Nesting level,6,1
Type of node,IfStatement,110
Type of node,ReturnStatement,67
Type of node,MethodInvocation,55
Type of node,BinaryOperation,22
Type of node,ForStatement,12
Type of node,TernaryExpression,1
Type of node,StatementExpression,1
