Method,Fault-Detected
HtmlParserTest::handlesInvalidDoctypes, 1
DocumentType_ESTest::test0, 1
DocumentType_ESTest::test2, 1
RegressionTest0::test01, 1
RegressionTest0::test02, 1
RegressionTest0::test03, 1
RegressionTest0::test04, 1
RegressionTest0::test05, 1
RegressionTest0::test06, 1
RegressionTest0::test07, 1
RegressionTest0::test08, 1
RegressionTest0::test09, 1
RegressionTest0::test10, 1
RegressionTest0::test11, 1
RegressionTest0::test12, 1
RegressionTest0::test13, 1
RegressionTest0::test14, 1
RegressionTest0::test15, 1
RegressionTest0::test16, 1
RegressionTest0::test18, 1
RegressionTest0::test20, 1
RegressionTest0::test22, 1
RegressionTest0::test24, 1
RegressionTest0::test25, 1
RegressionTest0::test27, 1
RegressionTest0::test28, 1
RegressionTest0::test29, 1
RegressionTest0::test30, 1
RegressionTest0::test31, 1
RegressionTest0::test33, 1
RegressionTest0::test34, 1
RegressionTest0::test35, 1
RegressionTest0::test37, 1
RegressionTest0::test40, 1
RegressionTest0::test42, 1
RegressionTest0::test43, 1
RegressionTest0::test44, 1
RegressionTest0::test46, 1
RegressionTest0::test48, 1
RegressionTest0::test50, 1
RegressionTest0::test52, 1
RegressionTest0::test53, 1
RegressionTest0::test54, 1
RegressionTest0::test56, 1
RegressionTest0::test57, 1
RegressionTest0::test58, 1
RegressionTest0::test59, 1
RegressionTest0::test60, 1
RegressionTest0::test63, 1
RegressionTest0::test64, 1
RegressionTest0::test65, 1
RegressionTest0::test66, 1
RegressionTest0::test67, 1
RegressionTest0::test68, 1
RegressionTest0::test69, 1
RegressionTest0::test71, 1
RegressionTest0::test76, 1
RegressionTest0::test79, 1
RegressionTest0::test80, 1
RegressionTest0::test82, 1
RegressionTest0::test85, 1
RegressionTest0::test86, 1
RegressionTest0::test87, 1
RegressionTest0::test89, 1
RegressionTest0::test90, 1
RegressionTest0::test91, 1
RegressionTest0::test92, 1
RegressionTest0::test94, 1
DocumentTypeTest::constructorValidationOkWithBlankName, 1
