: , RegressionTest0::test01 , RegressionTest0::test02 , RegressionTest0::test03 , RegressionTest0::test04 , RegressionTest0::test05 , RegressionTest0::test06 , RegressionTest0::test07 , RegressionTest0::test08 , RegressionTest0::test09 , RegressionTest0::test10 , RegressionTest0::test11 , RegressionTest0::test12 , RegressionTest0::test13 , RegressionTest0::test14 , RegressionTest0::test15 , RegressionTest0::test16 , RegressionTest0::test17 , RegressionTest0::test18 , RegressionTest0::test19 , RegressionTest0::test20 , RegressionTest0::test21 , RegressionTest0::test22 , RegressionTest0::test23 , RegressionTest0::test24 , RegressionTest0::test25 , RegressionTest0::test26 , RegressionTest0::test27 , RegressionTest0::test28 , RegressionTest0::test29 , RegressionTest0::test30 , RegressionTest0::test31 , RegressionTest0::test32 , RegressionTest0::test33 , RegressionTest0::test34 , RegressionTest0::test35 , RegressionTest0::test36 , RegressionTest0::test37 , RegressionTest0::test38 , RegressionTest0::test39 , RegressionTest0::test40 , DataUtilTest::testCharset , DataUtilTest::testQuotedCharset , DataUtilTest::discardsSpuriousByteOrderMark , DataUtil_ESTest::test0 , DataUtil_ESTest::test1 , DataUtil_ESTest::test2 , DataUtil_ESTest::test3 , DataUtil_ESTest::test4 , DataUtil_ESTest::test5 , DataUtil_ESTest::test6 , DataUtil_ESTest::test7 , DataUtil_ESTest::test8 , 
RegressionTest0::test01 , 0 , 65 , 63 , 33 , 31 , 63 , 4 , 104 , 62 , 63 , 65 , 4 , 6 , 260 , 62 , 261 , 6 , 63 , 65 , 64 , 19 , 65 , 259 , 4 , 65 , 7 , 64 , 65 , 7 , 5 , 17 , 62 , 3 , 64 , 65 , 6 , 5 , 32 , 64 , 18 , 346 , 334 , 336 , 301 , 272 , 357 , 287 , 296 , 358 , 292 , 451 , 444 , 
RegressionTest0::test02 , 65 , 0 , 4 , 86 , 88 , 5 , 64 , 61 , 6 , 5 , 4 , 64 , 63 , 219 , 4 , 221 , 62 , 5 , 4 , 4 , 78 , 3 , 222 , 63 , 3 , 62 , 6 , 4 , 63 , 62 , 78 , 7 , 65 , 5 , 3 , 63 , 64 , 88 , 5 , 76 , 318 , 299 , 300 , 265 , 262 , 324 , 258 , 262 , 338 , 257 , 413 , 407 , 
RegressionTest0::test03 , 63 , 4 , 0 , 88 , 87 , 6 , 63 , 58 , 5 , 6 , 5 , 66 , 64 , 219 , 6 , 220 , 64 , 7 , 6 , 3 , 79 , 6 , 220 , 62 , 4 , 64 , 3 , 4 , 64 , 62 , 77 , 4 , 65 , 4 , 5 , 65 , 65 , 89 , 5 , 79 , 319 , 301 , 301 , 264 , 261 , 324 , 257 , 260 , 338 , 256 , 412 , 407 , 
RegressionTest0::test04 , 33 , 86 , 88 , 0 , 4 , 90 , 32 , 133 , 90 , 89 , 88 , 31 , 30 , 276 , 89 , 277 , 28 , 90 , 89 , 89 , 27 , 88 , 278 , 31 , 86 , 29 , 90 , 88 , 30 , 31 , 28 , 91 , 32 , 90 , 87 , 30 , 31 , 3 , 89 , 26 , 356 , 349 , 347 , 318 , 279 , 370 , 300 , 305 , 370 , 283 , 469 , 462 , 
RegressionTest0::test05 , 31 , 88 , 87 , 4 , 0 , 89 , 29 , 131 , 88 , 89 , 89 , 33 , 30 , 275 , 90 , 276 , 31 , 90 , 89 , 87 , 27 , 89 , 276 , 29 , 88 , 31 , 88 , 88 , 30 , 29 , 26 , 89 , 33 , 88 , 88 , 32 , 32 , 4 , 88 , 28 , 355 , 352 , 348 , 316 , 280 , 368 , 298 , 305 , 370 , 282 , 468 , 461 , 
RegressionTest0::test06 , 63 , 5 , 6 , 90 , 89 , 0 , 64 , 58 , 4 , 2 , 5 , 63 , 64 , 220 , 4 , 220 , 65 , 3 , 5 , 7 , 75 , 6 , 220 , 65 , 5 , 64 , 6 , 4 , 63 , 63 , 76 , 4 , 62 , 7 , 5 , 65 , 64 , 89 , 4 , 75 , 318 , 301 , 300 , 264 , 264 , 325 , 257 , 263 , 338 , 255 , 412 , 408 , 
RegressionTest0::test07 , 4 , 64 , 63 , 32 , 29 , 64 , 0 , 105 , 63 , 64 , 63 , 6 , 5 , 261 , 65 , 260 , 5 , 65 , 63 , 63 , 21 , 62 , 261 , 3 , 64 , 5 , 62 , 64 , 5 , 3 , 19 , 63 , 6 , 62 , 64 , 4 , 4 , 32 , 63 , 21 , 347 , 337 , 338 , 304 , 271 , 357 , 285 , 298 , 359 , 291 , 453 , 446 , 
RegressionTest0::test08 , 104 , 61 , 58 , 133 , 131 , 58 , 105 , 0 , 58 , 58 , 60 , 106 , 107 , 189 , 59 , 189 , 107 , 60 , 61 , 60 , 120 , 61 , 188 , 106 , 60 , 107 , 59 , 60 , 107 , 106 , 119 , 58 , 105 , 60 , 61 , 107 , 107 , 133 , 60 , 120 , 306 , 292 , 298 , 235 , 266 , 309 , 234 , 238 , 310 , 291 , 370 , 368 , 
RegressionTest0::test09 , 62 , 6 , 5 , 90 , 88 , 4 , 63 , 58 , 0 , 4 , 7 , 64 , 66 , 221 , 4 , 220 , 65 , 4 , 6 , 4 , 77 , 6 , 219 , 64 , 6 , 65 , 5 , 7 , 65 , 63 , 75 , 3 , 64 , 4 , 5 , 66 , 66 , 91 , 7 , 77 , 317 , 303 , 300 , 263 , 264 , 326 , 256 , 262 , 338 , 256 , 411 , 407 , 
RegressionTest0::test10 , 63 , 5 , 6 , 89 , 89 , 2 , 64 , 58 , 4 , 0 , 4 , 62 , 65 , 220 , 3 , 220 , 64 , 3 , 6 , 7 , 76 , 5 , 220 , 65 , 4 , 62 , 6 , 5 , 64 , 64 , 76 , 4 , 63 , 7 , 6 , 63 , 65 , 90 , 5 , 75 , 318 , 301 , 299 , 264 , 263 , 326 , 257 , 263 , 338 , 256 , 412 , 407 , 
RegressionTest0::test11 , 65 , 4 , 5 , 88 , 89 , 5 , 63 , 60 , 7 , 4 , 0 , 63 , 63 , 220 , 4 , 219 , 62 , 5 , 3 , 6 , 78 , 3 , 222 , 64 , 3 , 61 , 3 , 4 , 62 , 62 , 78 , 6 , 65 , 5 , 5 , 62 , 62 , 89 , 3 , 77 , 319 , 303 , 300 , 265 , 263 , 326 , 257 , 264 , 338 , 256 , 413 , 408 , 
