:,DataUtilTest::discardsSpuriousByteOrderMark,DataUtilTest::testCharset,DataUtilTest::testQuotedCharset,DataUtil_ESTest::test0,DataUtil_ESTest::test1,DataUtil_ESTest::test2,DataUtil_ESTest::test3,DataUtil_ESTest::test4,DataUtil_ESTest::test5,DataUtil_ESTest::test6,DataUtil_ESTest::test7,DataUtil_ESTest::test8,RegressionTest0::test001,RegressionTest0::test002,RegressionTest0::test003,RegressionTest0::test004,RegressionTest0::test005,RegressionTest0::test006,RegressionTest0::test007,RegressionTest0::test008,RegressionTest0::test009,RegressionTest0::test010,RegressionTest0::test011,RegressionTest0::test012,RegressionTest0::test013,RegressionTest0::test014,RegressionTest0::test015,RegressionTest0::test016,RegressionTest0::test017,RegressionTest0::test018,RegressionTest0::test019,RegressionTest0::test020,RegressionTest0::test021,RegressionTest0::test022,RegressionTest0::test023,RegressionTest0::test024,RegressionTest0::test025,RegressionTest0::test026,RegressionTest0::test027,RegressionTest0::test028,RegressionTest0::test029,RegressionTest0::test030,RegressionTest0::test031,RegressionTest0::test032,RegressionTest0::test033,RegressionTest0::test034,RegressionTest0::test035,RegressionTest0::test036,RegressionTest0::test037,RegressionTest0::test038,RegressionTest0::test039,RegressionTest0::test040,RegressionTest0::test041,RegressionTest0::test042,RegressionTest0::test043,RegressionTest0::test044,RegressionTest0::test045,RegressionTest0::test046,RegressionTest0::test047,RegressionTest0::test048,RegressionTest0::test049,RegressionTest0::test050,RegressionTest0::test051,RegressionTest0::test052,RegressionTest0::test053,RegressionTest0::test054,RegressionTest0::test055,RegressionTest0::test056,RegressionTest0::test057,RegressionTest0::test058,RegressionTest0::test059,RegressionTest0::test060,RegressionTest0::test061,RegressionTest0::test062,RegressionTest0::test063,RegressionTest0::test064,RegressionTest0::test065,RegressionTest0::test066,RegressionTest0::test067,RegressionTest0::test068,RegressionTest0::test069,RegressionTest0::test070,RegressionTest0::test071,RegressionTest0::test072,RegressionTest0::test073,RegressionTest0::test074,RegressionTest0::test075,RegressionTest0::test076,RegressionTest0::test077,RegressionTest0::test078,RegressionTest0::test079,RegressionTest0::test080,RegressionTest0::test081,RegressionTest0::test082,RegressionTest0::test083,RegressionTest0::test084,RegressionTest0::test085,RegressionTest0::test086,RegressionTest0::test087,RegressionTest0::test088,RegressionTest0::test089,RegressionTest0::test090,RegressionTest0::test091,RegressionTest0::test092,RegressionTest0::test093,RegressionTest0::test094,RegressionTest0::test095,RegressionTest0::test096,RegressionTest0::test097,RegressionTest0::test098,RegressionTest0::test099,RegressionTest0::test100,RegressionTest0::test101,RegressionTest0::test102,RegressionTest0::test103,RegressionTest0::test104,RegressionTest0::test105,RegressionTest0::test106,RegressionTest0::test107,RegressionTest0::test108,RegressionTest0::test109,RegressionTest0::test110,RegressionTest0::test111,RegressionTest0::test112,RegressionTest0::test113,RegressionTest0::test114,RegressionTest0::test115,RegressionTest0::test116,RegressionTest0::test117,RegressionTest0::test118,RegressionTest0::test119,RegressionTest0::test120,RegressionTest0::test121,RegressionTest0::test122,RegressionTest0::test123,RegressionTest0::test124,RegressionTest0::test125,RegressionTest0::test126,RegressionTest0::test127,RegressionTest0::test128,RegressionTest0::test129,RegressionTest0::test130,RegressionTest0::test131,RegressionTest0::test132,RegressionTest0::test133,RegressionTest0::test134,RegressionTest0::test135,RegressionTest0::test136,RegressionTest0::test137,RegressionTest0::test138,RegressionTest0::test139,RegressionTest0::test140,RegressionTest0::test141,RegressionTest0::test142,RegressionTest0::test143,RegressionTest0::test144,RegressionTest0::test145,RegressionTest0::test146,RegressionTest0::test147,RegressionTest0::test148,RegressionTest0::test149,RegressionTest0::test150,RegressionTest0::test151,RegressionTest0::test152,RegressionTest0::test153,
DataUtilTest::discardsSpuriousByteOrderMark ,0,16,15,16,15,13,16,15,10,10,19,19,22,18,21,20,18,38,20,20,20,61,38,20,18,44,20,20,18,20,20,21,20,18,20,21,44,20,18,20,44,20,20,54,20,20,18,53,18,77,20,21,53,52,86,61,20,36,76,21,20,20,86,20,52,18,20,18,44,18,39,56,78,20,20,46,20,18,18,38,18,89,54,20,20,30,21,18,20,20,78,20,20,70,18,86,61,20,52,20,20,20,20,20,65,89,46,54,20,61,18,53,18,105,79,70,20,20,38,20,18,18,85,20,20,20,20,20,61,20,20,20,20,18,87,20,70,20,20,78,20,20,114,20,70,78,53,20,20,20,20,21,20,20,20,18,21,21,20,21,21,20,20,18,21,
DataUtilTest::testCharset ,16,0,8,17,16,13,16,12,17,20,15,16,21,14,26,21,14,41,21,21,21,69,41,21,14,49,21,21,14,21,21,26,21,14,21,26,49,21,14,21,49,21,21,58,21,21,14,57,14,84,21,26,57,56,93,65,21,41,83,26,21,21,93,21,56,14,21,14,49,14,43,60,84,21,21,50,21,14,14,41,14,96,58,21,21,34,26,14,21,21,84,21,21,76,14,92,68,21,56,21,21,21,21,21,69,95,50,58,21,69,14,57,14,112,85,77,21,21,42,21,14,14,92,21,21,21,21,21,69,21,21,21,21,14,94,21,76,21,21,84,21,21,120,21,77,82,57,21,21,21,21,26,21,21,21,14,26,26,21,26,26,21,21,14,26,
DataUtilTest::testQuotedCharset ,15,8,0,16,13,11,14,9,15,19,9,10,20,14,25,20,14,45,20,20,20,70,45,20,14,52,20,20,14,20,20,26,20,14,20,26,52,20,14,20,52,20,20,62,20,20,14,61,14,87,20,25,61,60,95,69,20,43,86,25,20,20,95,20,60,14,20,14,52,14,45,64,87,20,20,54,20,14,14,45,14,99,62,20,20,35,25,14,20,20,87,20,20,79,14,95,71,20,60,20,20,20,20,20,73,98,54,62,20,70,14,61,14,114,88,80,20,20,44,20,14,14,94,20,20,20,20,20,70,20,20,20,20,14,96,20,79,20,20,87,20,20,122,20,79,86,61,20,20,20,20,25,20,20,20,14,25,25,20,25,25,20,20,14,25,
DataUtil_ESTest::test0 ,16,17,16,0,8,11,2,9,14,16,17,15,20,15,24,18,15,39,18,18,18,65,39,18,15,46,18,18,15,18,18,21,18,15,18,21,46,18,15,18,46,18,18,56,18,18,15,55,15,82,18,24,55,54,90,63,18,37,81,24,18,18,90,18,54,15,18,15,46,15,39,58,82,18,18,48,18,15,15,39,15,94,56,18,18,29,24,15,18,18,82,18,18,74,15,90,66,18,54,18,18,18,18,18,67,93,48,56,18,65,15,55,15,110,83,75,18,18,38,18,15,15,89,18,18,18,18,18,65,18,18,18,18,15,91,18,74,18,18,82,18,18,118,18,74,80,55,18,18,18,18,24,18,18,18,15,24,24,18,24,24,18,18,15,24,
DataUtil_ESTest::test1 ,15,16,13,8,0,10,9,10,14,16,15,14,20,15,25,21,15,40,21,21,21,67,40,21,15,48,21,21,15,21,21,23,21,15,21,23,48,21,15,21,48,21,21,57,21,21,15,57,15,84,21,25,57,56,92,65,21,39,83,25,21,21,92,21,56,15,21,15,48,15,41,59,84,21,21,49,21,15,15,40,15,95,58,21,21,31,25,15,21,21,84,21,21,76,15,92,67,21,56,21,21,21,21,21,68,95,49,58,21,67,15,57,15,112,85,76,21,21,40,21,15,15,91,21,21,21,21,21,67,21,21,21,21,15,93,21,76,21,21,84,21,21,120,21,75,82,57,21,21,21,21,25,21,21,21,15,25,25,21,25,25,21,21,15,25,
DataUtil_ESTest::test2 ,13,13,11,11,10,0,9,8,11,12,11,12,18,15,23,17,15,41,17,17,17,67,41,17,15,48,17,17,15,17,17,24,17,15,17,24,48,17,15,17,48,17,17,58,17,17,15,57,15,83,17,23,57,56,92,65,17,39,82,23,17,17,92,17,56,15,17,15,48,15,41,60,84,17,17,50,17,15,15,41,15,95,58,17,17,31,23,15,17,17,84,17,17,75,15,92,67,17,56,17,17,17,17,17,69,95,50,58,17,67,15,57,15,111,85,76,17,17,40,17,15,15,91,17,17,17,17,17,67,17,17,17,17,15,93,17,75,17,17,84,17,17,120,17,76,82,57,17,17,17,17,23,17,17,17,15,23,23,17,23,23,17,17,15,23,
DataUtil_ESTest::test3 ,16,16,14,2,9,9,0,7,14,16,16,17,19,14,23,17,14,38,17,17,17,64,38,17,14,45,17,17,14,17,17,20,17,14,17,20,45,17,14,17,45,17,17,55,17,17,14,54,14,81,17,23,54,53,89,62,17,36,80,23,17,17,89,17,53,14,17,14,45,14,38,57,81,17,17,47,17,14,14,38,14,93,55,17,17,28,23,14,17,17,81,17,17,73,14,89,65,17,53,17,17,17,17,17,66,92,47,55,17,64,14,54,14,109,82,74,17,17,37,17,14,14,88,17,17,17,17,17,64,17,17,17,17,14,90,17,73,17,17,81,17,17,117,17,73,79,54,17,17,17,17,23,17,17,17,14,23,23,17,23,23,17,17,14,23,
DataUtil_ESTest::test4 ,15,12,9,9,10,8,7,0,13,16,9,10,15,15,19,13,15,40,13,13,13,67,40,13,15,47,13,13,15,13,13,21,13,15,13,21,47,13,15,13,47,13,13,57,13,13,15,56,15,83,13,19,56,55,92,64,13,38,82,19,13,13,92,13,55,15,13,15,47,15,40,59,84,13,13,49,13,15,15,40,15,95,57,13,13,30,19,15,13,13,84,13,13,75,15,92,67,13,55,13,13,13,13,13,68,95,49,57,13,67,15,56,15,111,85,76,13,13,39,13,15,15,91,13,13,13,13,13,67,13,13,13,13,15,93,13,75,13,13,84,13,13,120,13,76,81,56,13,13,13,13,19,13,13,13,15,19,19,13,19,19,13,13,15,19,
DataUtil_ESTest::test5 ,10,17,15,14,14,11,14,13,0,9,16,16,20,18,18,21,18,37,21,21,21,64,37,21,18,45,21,21,18,21,21,18,21,18,21,18,45,21,18,21,44,21,21,54,21,21,18,54,18,80,21,18,54,52,89,62,21,35,79,18,21,21,89,21,52,18,21,18,45,18,38,57,80,21,21,47,21,18,18,37,18,92,55,21,21,29,18,18,21,21,80,21,21,71,18,89,63,21,52,21,21,21,21,21,66,92,46,55,21,64,18,54,18,107,81,73,21,21,37,21,18,18,88,21,21,21,21,21,64,21,21,21,21,18,89,21,71,21,21,80,21,21,117,21,72,79,54,21,21,21,21,18,21,21,21,18,18,18,21,18,18,21,21,18,18,
DataUtil_ESTest::test6 ,10,20,19,16,16,12,16,16,9,0,17,17,19,17,22,21,17,41,21,21,21,67,41,21,17,48,21,21,17,21,21,23,21,17,21,23,48,21,17,21,48,21,21,58,21,21,17,57,17,83,21,22,57,56,92,65,21,39,82,22,21,21,92,21,56,17,21,17,48,17,42,60,84,21,21,50,21,17,17,41,17,95,58,21,21,32,22,17,21,21,84,21,21,75,17,92,67,21,56,21,21,21,21,21,69,95,50,58,21,67,17,57,17,111,85,76,21,21,41,21,17,17,91,21,21,21,21,21,67,21,21,21,21,17,93,21,75,21,21,84,21,21,120,21,76,82,57,21,21,21,21,22,21,21,21,17,22,22,21,22,22,21,21,17,22,
