:,DataUtilTest::discardsSpuriousByteOrderMark,DataUtilTest::discardsSpuriousByteOrderMarkWhenNoCharsetSet,DataUtilTest::shouldCorrectCharsetForDuplicateCharsetString,DataUtilTest::shouldNotThrowExceptionOnEmptyCharset,DataUtilTest::shouldReturnNullForIllegalCharsetNames,DataUtilTest::shouldSelectFirstCharsetOnWeirdMultileCharsetsInMetaTags,DataUtilTest::testCharset,DataUtilTest::testQuotedCharset,DataUtil_ESTest::test00,DataUtil_ESTest::test01,DataUtil_ESTest::test02,DataUtil_ESTest::test03,DataUtil_ESTest::test04,DataUtil_ESTest::test05,DataUtil_ESTest::test06,DataUtil_ESTest::test07,DataUtil_ESTest::test08,DataUtil_ESTest::test09,DataUtil_ESTest::test10,DataUtil_ESTest::test11,RegressionTest0::test01,RegressionTest0::test02,RegressionTest0::test03,RegressionTest0::test04,RegressionTest0::test05,RegressionTest0::test06,RegressionTest0::test07,RegressionTest0::test08,RegressionTest0::test09,RegressionTest0::test10,RegressionTest0::test11,RegressionTest0::test12,RegressionTest0::test13,RegressionTest0::test14,RegressionTest0::test15,RegressionTest0::test16,RegressionTest0::test17,RegressionTest0::test18,RegressionTest0::test19,RegressionTest0::test20,RegressionTest0::test21,RegressionTest0::test22,RegressionTest0::test23,RegressionTest0::test24,RegressionTest0::test25,RegressionTest0::test26,RegressionTest0::test27,RegressionTest0::test28,RegressionTest0::test29,RegressionTest0::test30,RegressionTest0::test31,RegressionTest0::test32,RegressionTest0::test33,RegressionTest0::test34,RegressionTest0::test35,RegressionTest0::test36,RegressionTest0::test37,RegressionTest0::test38,RegressionTest0::test39,RegressionTest0::test40,RegressionTest0::test41,RegressionTest0::test42,RegressionTest0::test43,RegressionTest0::test44,RegressionTest0::test45,RegressionTest0::test46,RegressionTest0::test47,RegressionTest0::test48,RegressionTest0::test49,RegressionTest0::test50,RegressionTest0::test51,RegressionTest0::test52,RegressionTest0::test53,RegressionTest0::test54,RegressionTest0::test55,RegressionTest0::test56,RegressionTest0::test57,RegressionTest0::test58,RegressionTest0::test59,RegressionTest0::test60,RegressionTest0::test61,RegressionTest0::test62,RegressionTest0::test63,RegressionTest0::test64,RegressionTest0::test65,RegressionTest0::test66,RegressionTest0::test67,RegressionTest0::test68,RegressionTest0::test69,RegressionTest0::test70,RegressionTest0::test71,RegressionTest0::test72,RegressionTest0::test73,RegressionTest0::test74,RegressionTest0::test75,RegressionTest0::test76,RegressionTest0::test77,RegressionTest0::test78,RegressionTest0::test79,RegressionTest0::test80,RegressionTest0::test81,RegressionTest0::test82,RegressionTest0::test83,RegressionTest0::test84,RegressionTest0::test85,RegressionTest0::test86,
DataUtilTest::discardsSpuriousByteOrderMark ,0,8,20,17,20,20,19,16,16,15,16,14,15,11,16,17,11,19,19,19,21,18,21,22,20,21,18,21,20,22,20,31,18,20,20,20,40,20,48,22,31,20,18,20,18,20,21,20,21,20,20,20,20,29,21,38,20,18,66,22,22,66,22,648,648,18,20,31,20,20,20,22,73,20,38,29,20,64,648,22,21,21,18,20,74,18,18,38,18,20,64,20,20,18,22,46,21,20,40,38,20,20,130,18,48,40,
DataUtilTest::discardsSpuriousByteOrderMarkWhenNoCharsetSet ,8,0,27,24,27,27,22,21,23,21,21,19,19,18,23,15,18,25,25,25,27,25,27,26,26,27,25,27,26,26,26,31,25,26,26,26,39,26,48,26,32,26,25,26,25,26,27,26,27,26,26,26,26,31,27,38,26,25,63,26,26,63,26,641,641,25,26,31,26,26,26,26,70,26,38,31,26,61,641,26,27,26,25,26,71,25,25,38,25,26,61,26,26,25,26,45,27,26,39,38,26,26,126,25,48,39,
DataUtilTest::shouldCorrectCharsetForDuplicateCharsetString ,20,27,0,4,1,0,20,16,11,16,17,16,25,13,17,29,23,5,6,5,28,15,28,23,23,28,15,28,23,21,23,41,15,23,23,23,51,23,61,23,41,23,15,23,15,23,28,23,28,23,23,23,23,39,28,50,23,15,79,22,22,78,22,667,667,15,23,41,23,23,23,22,86,23,50,39,23,77,667,22,28,31,15,23,89,15,15,49,15,23,79,23,23,15,23,58,28,23,51,49,23,23,145,15,61,51,
DataUtilTest::shouldNotThrowExceptionOnEmptyCharset ,17,24,4,0,4,4,16,13,8,14,15,14,22,11,15,27,21,4,4,4,27,15,27,23,22,27,15,27,22,21,22,39,15,22,22,22,49,22,59,23,39,22,15,22,15,22,27,22,27,22,22,22,22,37,27,48,22,15,76,22,22,76,22,663,663,15,22,39,22,22,22,22,83,22,48,37,22,75,663,22,27,29,15,22,87,15,15,47,15,22,77,22,22,15,23,56,27,22,49,47,22,22,142,15,59,49,
DataUtilTest::shouldReturnNullForIllegalCharsetNames ,20,27,1,4,0,1,20,16,11,16,17,16,25,13,16,28,22,5,5,5,28,16,28,24,23,28,16,28,23,22,23,41,16,23,23,23,51,23,61,24,41,23,16,23,16,23,28,23,28,23,23,23,23,39,28,50,23,16,79,23,23,78,23,667,667,16,23,41,23,23,23,23,86,23,50,39,23,77,667,23,28,31,16,23,89,16,16,49,16,23,79,23,23,16,24,58,28,23,51,49,23,23,145,16,61,51,
DataUtilTest::shouldSelectFirstCharsetOnWeirdMultileCharsetsInMetaTags ,20,27,0,4,1,0,20,16,11,16,17,16,25,13,17,29,23,5,6,5,28,15,28,23,23,28,15,28,23,21,23,41,15,23,23,23,51,23,61,23,41,23,15,23,15,23,28,23,28,23,23,23,23,39,28,50,23,15,79,22,22,78,22,667,667,15,23,41,23,23,23,22,86,23,50,39,23,77,667,22,28,31,15,23,89,15,15,49,15,23,79,23,23,15,23,58,28,23,51,49,23,23,145,15,61,51,
DataUtilTest::testCharset ,19,22,20,16,20,20,0,5,16,18,18,15,19,16,20,28,23,19,19,19,25,17,25,21,21,25,17,25,21,20,21,36,17,21,21,21,42,21,50,21,36,21,17,21,17,21,25,21,25,21,21,21,21,34,25,43,21,17,70,20,20,67,20,650,650,17,21,34,21,21,21,20,77,21,43,34,21,68,650,20,25,27,17,21,78,17,17,42,17,21,68,21,21,17,21,48,25,21,42,42,21,21,133,17,50,42,
DataUtilTest::testQuotedCharset ,16,21,16,13,16,16,5,0,13,15,15,12,18,12,17,27,23,16,17,16,25,15,25,21,20,25,15,25,20,20,20,35,15,20,20,20,42,20,52,21,35,20,15,20,15,20,25,20,25,20,20,20,20,33,25,43,20,15,69,20,20,69,20,651,651,15,20,33,20,20,20,20,76,20,43,33,20,67,651,20,25,26,15,20,79,15,15,42,15,20,69,20,20,15,21,49,25,20,42,42,20,20,132,15,52,42,
DataUtil_ESTest::test00 ,16,23,11,8,11,11,16,13,0,7,9,8,19,11,10,26,21,8,7,8,24,11,24,21,21,24,11,24,21,19,21,35,11,21,21,21,45,21,55,21,35,21,11,21,11,21,24,21,24,21,21,21,21,33,24,44,21,11,72,20,20,72,20,660,660,11,21,35,21,21,21,20,79,21,44,33,21,71,660,20,24,26,11,21,83,11,11,43,11,21,73,21,21,11,21,52,24,21,45,43,21,21,138,11,55,45,
DataUtil_ESTest::test01 ,15,21,16,14,16,16,18,15,7,0,8,6,17,10,9,23,19,15,14,15,25,15,25,22,21,25,15,25,21,20,21,32,15,21,21,21,41,21,51,22,32,21,15,21,15,21,25,21,25,21,21,21,21,30,25,41,21,15,69,21,21,68,21,656,656,15,21,31,21,21,21,21,76,21,41,30,21,68,656,21,25,23,15,21,79,15,15,40,15,21,69,21,21,15,22,48,25,21,41,40,21,21,134,15,51,41,
