: , NormalDistributionTest::testQuantiles , NormalDistributionTest::testInverseCumulativeProbabilityExtremes , NormalDistributionTest::testGetMean , NormalDistributionTest::testGetStandardDeviation , NormalDistributionTest::testPreconditions , NormalDistributionTest::testDensity , NormalDistributionTest::testExtremeValues , NormalDistributionTest::testMath280 , NormalDistributionTest::testMoments , MultivariateNormalDistribution_ESTest::test0 , MultivariateNormalDistribution_ESTest::test1 , MultivariateNormalDistribution_ESTest::test2 , MultivariateNormalDistribution_ESTest::test3 , MultivariateNormalDistribution_ESTest::test4 , MultivariateNormalDistribution_ESTest::test5 , MultivariateNormalDistribution_ESTest::test6 , RegressionTest0::test01 , RegressionTest0::test02 , RegressionTest0::test03 , RegressionTest0::test04 , RegressionTest0::test05 , RegressionTest0::test06 , RegressionTest0::test07 , RegressionTest0::test08 , RegressionTest0::test09 , RegressionTest0::test10 , RegressionTest0::test11 , RegressionTest0::test12 , RegressionTest0::test13 , RegressionTest0::test14 , RegressionTest0::test15 , RegressionTest0::test16 , MultivariateNormalDistributionTest::testGetMean , MultivariateNormalDistributionTest::testGetCovarianceMatrix , MultivariateNormalDistributionTest::testSampling , MultivariateNormalDistributionTest::testDensities , MultivariateNormalDistributionTest::testUnivariateDistribution , 
NormalDistributionTest::testQuantiles , 0 , 615 , 637 , 630 , 685 , 514 , 824 , 608 , 585 , 611 , 577 , 601 , 611 , 620 , 619 , 586 , 2447 , 2640 , 2894 , 2336 , 6312 , 3243 , 1613 , 2567 , 4500 , 5153 , 4782 , 4009 , 7122 , 6564 , 1526 , 5731 , 597 , 609 , 742 , 621 , 607 , 
NormalDistributionTest::testInverseCumulativeProbabilityExtremes , 615 , 0 , 189 , 187 , 200 , 338 , 808 , 416 , 439 , 386 , 408 , 336 , 386 , 535 , 543 , 362 , 2578 , 2812 , 3062 , 2525 , 6640 , 3460 , 1717 , 2787 , 4809 , 5487 , 5075 , 4281 , 7462 , 6878 , 1635 , 6038 , 244 , 329 , 741 , 591 , 414 , 
NormalDistributionTest::testGetMean , 637 , 189 , 0 , 30 , 101 , 344 , 834 , 428 , 417 , 369 , 389 , 318 , 369 , 520 , 542 , 344 , 2607 , 2839 , 3092 , 2548 , 6694 , 3498 , 1730 , 2820 , 4852 , 5532 , 5119 , 4318 , 7511 , 6929 , 1657 , 6082 , 210 , 290 , 747 , 598 , 393 , 
NormalDistributionTest::testGetStandardDeviation , 630 , 187 , 30 , 0 , 125 , 346 , 828 , 426 , 404 , 359 , 381 , 314 , 359 , 511 , 529 , 331 , 2584 , 2819 , 3070 , 2529 , 6671 , 3478 , 1715 , 2801 , 4829 , 5509 , 5097 , 4296 , 7489 , 6906 , 1643 , 6060 , 211 , 292 , 738 , 591 , 383 , 
NormalDistributionTest::testPreconditions , 685 , 200 , 101 , 125 , 0 , 360 , 917 , 500 , 492 , 432 , 451 , 373 , 432 , 591 , 606 , 400 , 2695 , 2926 , 3178 , 2634 , 6785 , 3585 , 1804 , 2906 , 4940 , 5620 , 5207 , 4407 , 7602 , 7020 , 1728 , 6172 , 250 , 347 , 818 , 655 , 458 , 
NormalDistributionTest::testDensity , 514 , 338 , 344 , 346 , 360 , 0 , 837 , 449 , 443 , 407 , 402 , 364 , 407 , 539 , 556 , 382 , 2555 , 2755 , 3004 , 2451 , 6515 , 3388 , 1689 , 2702 , 4686 , 5355 , 4951 , 4168 , 7319 , 6754 , 1612 , 5912 , 329 , 350 , 724 , 542 , 408 , 
NormalDistributionTest::testExtremeValues , 824 , 808 , 834 , 828 , 917 , 837 , 0 , 664 , 678 , 760 , 756 , 769 , 759 , 756 , 763 , 770 , 2196 , 2443 , 2691 , 2211 , 6142 , 3100 , 1521 , 2456 , 4373 , 5043 , 4639 , 3858 , 6949 , 6385 , 1438 , 5576 , 799 , 786 , 773 , 758 , 738 , 
NormalDistributionTest::testMath280 , 608 , 416 , 428 , 426 , 500 , 449 , 664 , 0 , 397 , 440 , 437 , 418 , 440 , 515 , 529 , 437 , 2373 , 2616 , 2867 , 2331 , 6360 , 3244 , 1608 , 2577 , 4556 , 5227 , 4822 , 4047 , 7176 , 6604 , 1498 , 5769 , 423 , 430 , 646 , 567 , 447 , 
NormalDistributionTest::testMoments , 585 , 439 , 417 , 404 , 492 , 443 , 678 , 397 , 0 , 433 , 422 , 406 , 433 , 506 , 522 , 416 , 2359 , 2597 , 2843 , 2321 , 6353 , 3239 , 1593 , 2577 , 4537 , 5215 , 4812 , 4033 , 7164 , 6589 , 1502 , 5760 , 401 , 401 , 630 , 540 , 413 , 
MultivariateNormalDistribution_ESTest::test0 , 611 , 386 , 369 , 359 , 432 , 407 , 760 , 440 , 433 , 0 , 258 , 226 , 6 , 164 , 212 , 237 , 2351 , 2570 , 2825 , 2290 , 6409 , 3231 , 1519 , 2561 , 4578 , 5251 , 4839 , 4044 , 7217 , 6645 , 1431 , 5798 , 322 , 330 , 655 , 520 , 350 , 
