: , PolyhedronsSetTest::testBox , PolyhedronsSetTest::testTetrahedron , PolyhedronsSetTest::testIsometry , PolyhedronsSetTest::testBuildBox , PolyhedronsSetTest::testCross , PolyhedronsSetTest::testIssue780 , PolygonsSet_ESTest::test00 , PolygonsSet_ESTest::test01 , PolygonsSet_ESTest::test02 , PolygonsSet_ESTest::test03 , PolygonsSet_ESTest::test04 , PolygonsSet_ESTest::test05 , PolygonsSet_ESTest::test06 , PolygonsSet_ESTest::test07 , PolygonsSet_ESTest::test08 , PolygonsSet_ESTest::test09 , PolygonsSet_ESTest::test10 , PolygonsSet_ESTest::test11 , PolygonsSetTest::testSimplyConnected , PolygonsSetTest::testStair , PolygonsSetTest::testHole , PolygonsSetTest::testDisjointPolygons , PolygonsSetTest::testOppositeHyperplanes , PolygonsSetTest::testSingularPoint , PolygonsSetTest::testLineIntersection , PolygonsSetTest::testUnlimitedSubHyperplane , PolygonsSetTest::testUnion , PolygonsSetTest::testIntersection , PolygonsSetTest::testXor , PolygonsSetTest::testDifference , PolygonsSetTest::testEmptyDifference , PolygonsSetTest::testChoppedHexagon , PolygonsSetTest::testConcentric , PolygonsSetTest::testBug20040520 , PolygonsSetTest::testBug20041003 , RegressionTest0::test001 , RegressionTest0::test002 , RegressionTest0::test003 , RegressionTest0::test004 , RegressionTest0::test005 , RegressionTest0::test006 , RegressionTest0::test007 , RegressionTest0::test008 , RegressionTest0::test009 , RegressionTest0::test010 , RegressionTest0::test011 , RegressionTest0::test012 , RegressionTest0::test013 , RegressionTest0::test014 , RegressionTest0::test015 , RegressionTest0::test016 , RegressionTest0::test017 , RegressionTest0::test018 , RegressionTest0::test019 , RegressionTest0::test020 , RegressionTest0::test021 , RegressionTest0::test022 , RegressionTest0::test023 , RegressionTest0::test024 , RegressionTest0::test025 , RegressionTest0::test026 , RegressionTest0::test027 , RegressionTest0::test028 , RegressionTest0::test029 , RegressionTest0::test030 , RegressionTest0::test031 , RegressionTest0::test032 , RegressionTest0::test033 , RegressionTest0::test034 , RegressionTest0::test035 , RegressionTest0::test036 , RegressionTest0::test037 , RegressionTest0::test038 , RegressionTest0::test039 , RegressionTest0::test040 , RegressionTest0::test041 , RegressionTest0::test042 , RegressionTest0::test043 , RegressionTest0::test044 , RegressionTest0::test045 , RegressionTest0::test046 , RegressionTest0::test047 , RegressionTest0::test048 , RegressionTest0::test049 , RegressionTest0::test050 , RegressionTest0::test051 , RegressionTest0::test052 , RegressionTest0::test053 , RegressionTest0::test054 , RegressionTest0::test055 , RegressionTest0::test056 , RegressionTest0::test057 , RegressionTest0::test058 , RegressionTest0::test059 , RegressionTest0::test060 , RegressionTest0::test061 , RegressionTest0::test062 , RegressionTest0::test063 , RegressionTest0::test064 , RegressionTest0::test065 , RegressionTest0::test066 , RegressionTest0::test067 , RegressionTest0::test068 , RegressionTest0::test069 , RegressionTest0::test070 , RegressionTest0::test071 , RegressionTest0::test072 , RegressionTest0::test073 , RegressionTest0::test074 , RegressionTest0::test075 , RegressionTest0::test076 , RegressionTest0::test077 , RegressionTest0::test078 , RegressionTest0::test079 , RegressionTest0::test080 , RegressionTest0::test081 , RegressionTest0::test082 , RegressionTest0::test083 , RegressionTest0::test084 , RegressionTest0::test085 , RegressionTest0::test086 , RegressionTest0::test087 , RegressionTest0::test088 , RegressionTest0::test089 , RegressionTest0::test090 , RegressionTest0::test091 , RegressionTest0::test092 , RegressionTest0::test093 , RegressionTest0::test094 , RegressionTest0::test095 , RegressionTest0::test096 , RegressionTest0::test097 , RegressionTest0::test098 , RegressionTest0::test099 , RegressionTest0::test100 , RegressionTest0::test101 , RegressionTest0::test102 , RegressionTest0::test103 , RegressionTest0::test104 , RegressionTest0::test105 , RegressionTest0::test106 , RegressionTest0::test107 , RegressionTest0::test108 , RegressionTest0::test109 , RegressionTest0::test110 , RegressionTest0::test111 , RegressionTest0::test112 , RegressionTest0::test113 , RegressionTest0::test114 , RegressionTest0::test115 , RegressionTest0::test116 , RegressionTest0::test117 , RegressionTest0::test118 , RegressionTest0::test119 , RegressionTest0::test120 , RegressionTest0::test121 , RegressionTest0::test122 , RegressionTest0::test123 , RegressionTest0::test124 , RegressionTest0::test125 , RegressionTest0::test126 , RegressionTest0::test127 , RegressionTest0::test128 , 
PolyhedronsSetTest::testBox , 0 , 967 , 1724 , 948 , 997 , 1485 , 1150 , 1132 , 1146 , 1147 , 1125 , 1171 , 1146 , 1143 , 1152 , 1155 , 1076 , 1082 , 848 , 1009 , 821 , 825 , 1048 , 1031 , 1344 , 904 , 985 , 873 , 1089 , 1009 , 991 , 1401 , 921 , 3095 , 1119 , 1350 , 1367 , 10222 , 1167 , 4012 , 8421 , 9854 , 9623 , 3465 , 7349 , 1136 , 9854 , 9530 , 7629 , 1085 , 11884 , 9905 , 7768 , 2181 , 5485 , 9627 , 12734 , 2275 , 7668 , 9933 , 7183 , 8074 , 15660 , 4197 , 1048 , 7268 , 17261 , 1059 , 3576 , 1068 , 1108 , 4535 , 6102 , 12864 , 6937 , 6058 , 3018 , 12154 , 6362 , 9472 , 2848 , 6390 , 8365 , 10067 , 1032 , 12861 , 5936 , 7452 , 10031 , 12846 , 10020 , 5366 , 4839 , 6927 , 1079 , 9972 , 1064 , 1307 , 8705 , 9526 , 3189 , 16536 , 10294 , 13779 , 12739 , 7535 , 4272 , 10316 , 13967 , 2996 , 4224 , 8436 , 13639 , 13067 , 7957 , 4263 , 14680 , 6398 , 1177 , 7776 , 4025 , 9466 , 6715 , 9758 , 1051 , 8472 , 14936 , 5710 , 8849 , 1412 , 9849 , 4433 , 3966 , 6119 , 8623 , 10084 , 1037 , 11927 , 3231 , 9623 , 10442 , 1049 , 8717 , 17551 , 8731 , 8882 , 6641 , 9938 , 8330 , 8534 , 7645 , 7259 , 12701 , 9304 , 6862 , 13493 , 7287 , 6060 , 8347 , 12987 , 6515 , 10338 , 14037 , 
PolyhedronsSetTest::testTetrahedron , 967 , 0 , 1396 , 937 , 911 , 1488 , 1184 , 1163 , 1184 , 1182 , 1154 , 1200 , 1183 , 1173 , 1182 , 1187 , 1109 , 1102 , 857 , 1030 , 897 , 889 , 1108 , 1073 , 1238 , 937 , 997 , 875 , 1108 , 1003 , 1034 , 1359 , 984 , 3126 , 1093 , 1304 , 1318 , 10097 , 1167 , 3918 , 8312 , 9721 , 9491 , 3397 , 7245 , 1125 , 9721 , 9400 , 7524 , 1129 , 11768 , 9787 , 7659 , 2105 , 5391 , 9495 , 12619 , 2197 , 7567 , 9835 , 7067 , 7963 , 15543 , 4092 , 1052 , 7158 , 17152 , 1067 , 3514 , 1104 , 1162 , 4463 , 6016 , 12746 , 6828 , 5970 , 2940 , 12038 , 6263 , 9375 , 2788 , 6284 , 8256 , 9936 , 1052 , 12743 , 5853 , 7357 , 9913 , 12716 , 9921 , 5276 , 4738 , 6816 , 1084 , 9839 , 1071 , 1291 , 8589 , 9415 , 3143 , 16419 , 10177 , 13665 , 12624 , 7417 , 4185 , 10190 , 13843 , 2918 , 4157 , 8326 , 13518 , 12957 , 7855 , 4194 , 14562 , 6292 , 1184 , 7692 , 3924 , 9370 , 6617 , 9642 , 1067 , 8364 , 14822 , 5627 , 8744 , 1389 , 9716 , 4360 , 3863 , 6004 , 8536 , 9983 , 1052 , 11810 , 3157 , 9531 , 10341 , 1064 , 8601 , 17450 , 8623 , 8772 , 6556 , 9805 , 8221 , 8425 , 7545 , 7149 , 12584 , 9196 , 6750 , 13381 , 7170 , 5945 , 8249 , 12884 , 6409 , 10222 , 13919 , 
PolyhedronsSetTest::testIsometry , 1724 , 1396 , 0 , 1839 , 1779 , 1800 , 2046 , 2016 , 2038 , 2046 , 2001 , 2070 , 2045 , 2038 , 2046 , 2048 , 1944 , 1930 , 1700 , 1810 , 1692 , 1752 , 1940 , 1906 , 1663 , 1746 , 1651 , 1676 , 1646 , 1655 , 1822 , 1706 , 1772 , 3001 , 1709 , 1728 , 1727 , 9681 , 1758 , 3660 , 7903 , 9302 , 9077 , 3162 , 6848 , 1747 , 9302 , 8991 , 7154 , 1953 , 11292 , 9340 , 7265 , 2095 , 5061 , 9081 , 12132 , 2155 , 7178 , 9402 , 6679 , 7568 , 15000 , 3833 , 1785 , 6766 , 16625 , 1776 , 3266 , 1930 , 2020 , 4149 , 5652 , 12247 , 6441 , 5654 , 2749 , 11559 , 5910 , 8918 , 2657 , 5925 , 7851 , 9509 , 1819 , 12246 , 5485 , 6972 , 9463 , 12218 , 9481 , 4946 , 4464 , 6423 , 1767 , 9414 , 1785 , 1745 , 8151 , 8967 , 2980 , 15868 , 9728 , 13169 , 12137 , 7037 , 4005 , 9759 , 13337 , 2778 , 3864 , 7914 , 13015 , 12463 , 7447 , 3899 , 14049 , 5931 , 1771 , 7290 , 3659 , 8931 , 6241 , 9198 , 1846 , 7954 , 14289 , 5270 , 8325 , 1755 , 9298 , 4064 , 3614 , 5662 , 8094 , 9535 , 1824 , 11341 , 2979 , 9096 , 9885 , 1854 , 8162 , 16879 , 8204 , 8356 , 6215 , 9375 , 7817 , 8009 , 7152 , 6739 , 12101 , 8767 , 6368 , 12879 , 6774 , 5618 , 7838 , 12373 , 6036 , 9768 , 13418 , 
PolyhedronsSetTest::testBuildBox , 948 , 937 , 1839 , 0 , 354 , 1506 , 415 , 407 , 422 , 414 , 411 , 420 , 415 , 399 , 413 , 416 , 407 , 450 , 818 , 403 , 779 , 617 , 401 , 398 , 1449 , 642 , 1237 , 935 , 1389 , 1247 , 439 , 1434 , 543 , 3528 , 1046 , 1396 , 1414 , 10592 , 1134 , 4269 , 8776 , 10214 , 9980 , 3688 , 7702 , 1061 , 10214 , 9889 , 7988 , 424 , 12275 , 10289 , 8120 , 2343 , 5793 , 9984 , 13152 , 2435 , 8032 , 10325 , 7517 , 8442 , 16090 , 4465 , 803 , 7609 , 17714 , 890 , 3807 , 426 , 421 , 4803 , 6406 , 13285 , 7268 , 6389 , 3222 , 12547 , 6684 , 9847 , 3061 , 6713 , 8719 , 10428 , 760 , 13282 , 6234 , 7790 , 10387 , 13250 , 10411 , 5667 , 5137 , 7255 , 937 , 10331 , 893 , 1304 , 9042 , 9896 , 3413 , 16977 , 10688 , 14190 , 13157 , 7887 , 4520 , 10684 , 14391 , 3211 , 4481 , 8803 , 14064 , 13482 , 8329 , 4524 , 15106 , 6720 , 1122 , 8141 , 4278 , 9844 , 7047 , 10142 , 521 , 8842 , 15366 , 6000 , 9212 , 1450 , 10206 , 4695 , 4211 , 6437 , 8996 , 10470 , 739 , 12341 , 3439 , 10006 , 10834 , 557 , 9053 , 18006 , 9099 , 9247 , 6973 , 10297 , 8683 , 8900 , 8001 , 7592 , 13127 , 9677 , 7187 , 13911 , 7625 , 6379 , 8717 , 13398 , 6838 , 10735 , 14470 , 
PolyhedronsSetTest::testCross , 997 , 911 , 1779 , 354 , 0 , 1426 , 729 , 698 , 719 , 728 , 696 , 735 , 729 , 710 , 731 , 732 , 680 , 686 , 841 , 643 , 791 , 703 , 707 , 693 , 1379 , 694 , 1187 , 920 , 1333 , 1202 , 660 , 1365 , 664 , 3370 , 1021 , 1317 , 1332 , 10362 , 1087 , 4107 , 8562 , 9987 , 9752 , 3541 , 7497 , 1015 , 9987 , 9659 , 7780 , 698 , 12035 , 10063 , 7913 , 2221 , 5609 , 9756 , 12919 , 2315 , 7825 , 10102 , 7314 , 8222 , 15846 , 4291 , 794 , 7404 , 17449 , 861 , 3658 , 668 , 709 , 4633 , 6214 , 13044 , 7060 , 6191 , 3083 , 12304 , 6485 , 9632 , 2920 , 6513 , 8505 , 10198 , 784 , 13041 , 6053 , 7583 , 10155 , 13003 , 10188 , 5486 , 4964 , 7048 , 914 , 10101 , 888 , 1225 , 8817 , 9677 , 3258 , 16722 , 10460 , 13942 , 12924 , 7681 , 4351 , 10452 , 14154 , 3074 , 4314 , 8582 , 13830 , 13249 , 8116 , 4357 , 14856 , 6520 , 1085 , 7924 , 4114 , 9629 , 6842 , 9917 , 667 , 8621 , 15116 , 5817 , 8999 , 1364 , 9978 , 4522 , 4051 , 6245 , 8766 , 10241 , 776 , 12105 , 3287 , 9786 , 10601 , 688 , 8828 , 17751 , 8876 , 9029 , 6773 , 10068 , 8469 , 8679 , 7793 , 7381 , 12892 , 9457 , 6982 , 13659 , 7414 , 6193 , 8505 , 13160 , 6635 , 10505 , 14232 , 
PolyhedronsSetTest::testIssue780 , 1485 , 1488 , 1800 , 1506 , 1426 , 0 , 1664 , 1605 , 1607 , 1664 , 1602 , 1667 , 1662 , 1649 , 1663 , 1663 , 1577 , 1573 , 1457 , 1516 , 1443 , 1483 , 1584 , 1564 , 1528 , 1472 , 1458 , 1447 , 1486 , 1464 , 1525 , 1488 , 1480 , 3203 , 1376 , 1508 , 1514 , 10001 , 1476 , 3893 , 8220 , 9628 , 9397 , 3342 , 7197 , 1487 , 9628 , 9304 , 7473 , 1580 , 11642 , 9717 , 7584 , 2152 , 5350 , 9401 , 12537 , 2220 , 7523 , 9747 , 7002 , 7927 , 15429 , 4069 , 1483 , 7095 , 17008 , 1490 , 3446 , 1576 , 1632 , 4389 , 5905 , 12673 , 6759 , 5958 , 2927 , 11910 , 6192 , 9286 , 2790 , 6229 , 8164 , 9839 , 1500 , 12669 , 5737 , 7255 , 9797 , 12619 , 9828 , 5239 , 4748 , 6750 , 1478 , 9738 , 1495 , 1540 , 8469 , 9328 , 3131 , 16270 , 10128 , 13526 , 12542 , 7382 , 4146 , 10088 , 13771 , 2940 , 4090 , 8255 , 13441 , 12873 , 7815 , 4116 , 14443 , 6237 , 1513 , 7628 , 3907 , 9279 , 6550 , 9574 , 1528 , 8295 , 14709 , 5513 , 8658 , 1565 , 9621 , 4294 , 3850 , 5966 , 8460 , 9890 , 1513 , 11743 , 3145 , 9423 , 10242 , 1528 , 8480 , 17310 , 8544 , 8679 , 6497 , 9705 , 8126 , 8353 , 7464 , 7063 , 12511 , 9094 , 6684 , 13236 , 7082 , 5929 , 8174 , 12750 , 6351 , 10167 , 13846 , 
PolygonsSet_ESTest::test00 , 1150 , 1184 , 2046 , 415 , 729 , 1664 , 0 , 161 , 131 , 55 , 163 , 57 , 49 , 107 , 47 , 55 , 256 , 360 , 908 , 413 , 852 , 683 , 231 , 276 , 1666 , 710 , 1361 , 1052 , 1517 , 1378 , 408 , 1599 , 589 , 3722 , 1124 , 1502 , 1521 , 10838 , 1201 , 4460 , 8991 , 10454 , 10219 , 3869 , 7916 , 1137 , 10454 , 10125 , 8205 , 309 , 12517 , 10513 , 8342 , 2507 , 5999 , 10223 , 13386 , 2602 , 8245 , 10549 , 7732 , 8660 , 16327 , 4656 , 834 , 7823 , 17967 , 937 , 3992 , 335 , 221 , 4996 , 6615 , 13519 , 7480 , 6621 , 3401 , 12793 , 6887 , 10076 , 3250 , 6923 , 8936 , 10666 , 802 , 13516 , 6446 , 8009 , 10622 , 13494 , 10635 , 5873 , 5338 , 7470 , 973 , 10569 , 953 , 1404 , 9269 , 10120 , 3592 , 17221 , 10922 , 14440 , 13390 , 8102 , 4712 , 10923 , 14625 , 3385 , 4676 , 9030 , 14300 , 13714 , 8544 , 4714 , 15353 , 6931 , 1245 , 8364 , 4470 , 10072 , 7259 , 10365 , 537 , 9072 , 15611 , 6211 , 9434 , 1552 , 10446 , 4893 , 4406 , 6646 , 9235 , 10705 , 775 , 12580 , 3644 , 10224 , 11069 , 561 , 9280 , 18259 , 9330 , 9468 , 7201 , 10536 , 8902 , 9130 , 8207 , 7812 , 13356 , 9902 , 7403 , 14158 , 7838 , 6590 , 8943 , 13634 , 7051 , 10970 , 14703 , 
PolygonsSet_ESTest::test01 , 1132 , 1163 , 2016 , 407 , 698 , 1605 , 161 , 0 , 139 , 166 , 144 , 133 , 164 , 154 , 163 , 171 , 307 , 395 , 898 , 418 , 838 , 664 , 245 , 289 , 1644 , 679 , 1346 , 1026 , 1505 , 1361 , 400 , 1541 , 579 , 3672 , 1080 , 1447 , 1467 , 10777 , 1145 , 4419 , 8950 , 10395 , 10159 , 3817 , 7873 , 1092 , 10395 , 10067 , 8167 , 286 , 12460 , 10472 , 8297 , 2463 , 5957 , 10163 , 13346 , 2560 , 8198 , 10506 , 7688 , 8616 , 16286 , 4613 , 785 , 7778 , 17910 , 896 , 3941 , 297 , 213 , 4946 , 6560 , 13482 , 7434 , 6579 , 3355 , 12734 , 6837 , 10038 , 3206 , 6880 , 8893 , 10608 , 760 , 13478 , 6396 , 7960 , 10562 , 13438 , 10592 , 5829 , 5295 , 7426 , 929 , 10511 , 917 , 1347 , 9211 , 10076 , 3558 , 17168 , 10881 , 14381 , 13351 , 8060 , 4660 , 10865 , 14587 , 3350 , 4623 , 8986 , 14260 , 13666 , 8500 , 4661 , 15295 , 6888 , 1201 , 8324 , 4428 , 10034 , 7215 , 10326 , 508 , 9026 , 15555 , 6159 , 9395 , 1495 , 10387 , 4841 , 4362 , 6604 , 9192 , 10671 , 739 , 12540 , 3595 , 10187 , 11035 , 520 , 9222 , 18205 , 9283 , 9423 , 7151 , 10478 , 8858 , 9082 , 8156 , 7762 , 13314 , 9862 , 7359 , 14097 , 7789 , 6548 , 8900 , 13582 , 7006 , 10928 , 14665 , 
PolygonsSet_ESTest::test02 , 1146 , 1184 , 2038 , 422 , 719 , 1607 , 131 , 139 , 0 , 140 , 158 , 114 , 134 , 147 , 133 , 144 , 312 , 414 , 916 , 432 , 860 , 682 , 243 , 290 , 1655 , 707 , 1371 , 1054 , 1529 , 1386 , 419 , 1563 , 596 , 3700 , 1101 , 1486 , 1505 , 10811 , 1144 , 4446 , 8972 , 10427 , 10191 , 3839 , 7907 , 1131 , 10427 , 10098 , 8193 , 282 , 12493 , 10504 , 8326 , 2492 , 5985 , 10195 , 13377 , 2586 , 8235 , 10529 , 7713 , 8647 , 16313 , 4636 , 827 , 7805 , 17946 , 928 , 3961 , 323 , 200 , 4969 , 6588 , 13511 , 7458 , 6603 , 3378 , 12765 , 6865 , 10063 , 3229 , 6904 , 8916 , 10640 , 791 , 13508 , 6419 , 7985 , 10594 , 13470 , 10616 , 5859 , 5324 , 7448 , 968 , 10543 , 943 , 1388 , 9243 , 10102 , 3580 , 17204 , 10908 , 14414 , 13382 , 8091 , 4686 , 10897 , 14617 , 3379 , 4647 , 9015 , 14289 , 13699 , 8532 , 4686 , 15330 , 6912 , 1224 , 8356 , 4455 , 10059 , 7237 , 10356 , 530 , 9057 , 15592 , 6184 , 9420 , 1538 , 10419 , 4865 , 4390 , 6631 , 9220 , 10698 , 767 , 12569 , 3618 , 10212 , 11063 , 547 , 9254 , 18242 , 9315 , 9450 , 7176 , 10510 , 8882 , 9114 , 8188 , 7787 , 13345 , 9888 , 7380 , 14133 , 7813 , 6573 , 8929 , 13614 , 7028 , 10952 , 14693 , 
PolygonsSet_ESTest::test03 , 1147 , 1182 , 2046 , 414 , 728 , 1664 , 55 , 166 , 140 , 0 , 170 , 73 , 57 , 119 , 59 , 60 , 258 , 360 , 912 , 413 , 852 , 685 , 237 , 283 , 1664 , 711 , 1361 , 1053 , 1520 , 1379 , 415 , 1601 , 594 , 3721 , 1123 , 1500 , 1519 , 10828 , 1202 , 4455 , 8982 , 10447 , 10211 , 3866 , 7907 , 1138 , 10447 , 10117 , 8194 , 311 , 12506 , 10501 , 8335 , 2506 , 5992 , 10215 , 13375 , 2600 , 8240 , 10542 , 7723 , 8651 , 16316 , 4649 , 838 , 7813 , 17961 , 937 , 3987 , 337 , 224 , 4991 , 6606 , 13509 , 7473 , 6611 , 3396 , 12785 , 6879 , 10064 , 3245 , 6915 , 8927 , 10659 , 806 , 13507 , 6441 , 8001 , 10614 , 13487 , 10628 , 5864 , 5329 , 7462 , 971 , 10562 , 954 , 1401 , 9261 , 10110 , 3584 , 17215 , 10913 , 14433 , 13380 , 8093 , 4706 , 10916 , 14616 , 3382 , 4671 , 9017 , 14289 , 13704 , 8534 , 4710 , 15346 , 6922 , 1245 , 8355 , 4464 , 10061 , 7250 , 10353 , 540 , 9059 , 15600 , 6205 , 9422 , 1550 , 10438 , 4888 , 4400 , 6639 , 9227 , 10693 , 778 , 12570 , 3640 , 10212 , 11057 , 563 , 9272 , 18250 , 9318 , 9458 , 7194 , 10529 , 8893 , 9117 , 8199 , 7804 , 13346 , 9891 , 7396 , 14146 , 7830 , 6582 , 8936 , 13623 , 7043 , 10960 , 14692 , 
