Key,Value,Count
Access modifier,public,11
Access modifier,private,6
Is static,True,15
Is static,False,2
Is void,Non-void,13
Is void,Void,4
Mutator,NegateConditionalsMutator,6
Mutator,ConditionalsBoundaryMutator,4
Mutator,MathMutator,4
Mutator,PrimitiveReturnsMutator,2
Mutator,VoidMethodCallMutator,1
Nesting level,0,15
Nesting level,1,2
Type of node,BinaryOperation,8
Type of node,IfStatement,5
Type of node,ReturnStatement,2
Type of node,MethodInvocation,1
Type of node,ForStatement,1
