Key,Value,Count
Access modifier,public,128
Access modifier,private,7
Is static,True,122
Is static,False,13
Is void,Non-void,133
Is void,Void,2
Mutator,NegateConditionalsMutator,87
Mutator,EmptyObjectReturnValsMutator,15
Mutator,ConditionalsBoundaryMutator,7
Mutator,IncrementsMutator,6
Mutator,MathMutator,5
Mutator,NullReturnValsMutator,4
Mutator,BooleanTrueReturnValsMutator,4
Mutator,PrimitiveReturnsMutator,3
Mutator,BooleanFalseReturnValsMutator,2
Mutator,VoidMethodCallMutator,2
Nesting level,0,61
Nesting level,1,38
Nesting level,2,18
Nesting level,4,6
Nesting level,5,5
Nesting level,6,4
Nesting level,3,2
Nesting level,7,1
Type of node,IfStatement,61
Type of node,BinaryOperation,40
Type of node,ReturnStatement,28
Type of node,TernaryExpression,2
Type of node,ForStatement,2
Type of node,MethodInvocation,2
